category_id,category_index,name,domain,status,analysis_scope,documents,needs_review_documents,supported_documents
C0001,0,电池与充电设施热管理,电化学储能,宽泛待细分,能源电力直接相关,2068,2068,0
C0002,1,功能传感材料与电化学检测,其他基础与关联学科,关联基础研究,关联基础或环境研究,8079,71,0
C0003,2,电力电子控制与频率调节,电网与电力系统,混杂待重分,质量限制观察,6071,6071,0
C0004,3,风能开发与风电技术经济,风能与水能海洋能源,宽泛待细分,能源电力直接相关,16789,16789,0
C0005,4,钙钛矿氧化物电催化,能源材料与电化学基础,方向候选,能源电力直接相关,6707,1253,0
C0006,5,电网建设与供电服务政策,能源政策与治理,宽泛待细分,能源治理与政策研究,891,879,12
C0007,6,层状电池正极与离子导体,电化学储能,混杂待重分,质量限制观察,10778,10778,0
C0008,7,电极涂布与通用成形加工,制造与通用装置,混杂待重分,质量限制观察,2640,2640,0
C0009,8,二氧化碳电还原催化,碳与环境,方向候选,能源电力直接相关,18060,2416,6922
C0010,9,土壤碳过程与土壤改良,碳与环境,关联基础研究,关联基础或环境研究,8771,144,0
C0011,10,光催化与光生物制氢,氢能与燃料电池,宽泛待细分,能源电力直接相关,8403,8403,0
C0012,11,聚合物介电绝缘与储能,能源材料与电化学基础,宽泛待细分,能源电力直接相关,8560,8560,0
C0013,12,集成电路与电子封装,电力电子与电机,宽泛待细分,能源电力直接相关,6305,6305,0
C0014,13,电池单体模组及用电器件混合,电化学储能,混杂待重分,质量限制观察,2653,2653,0
C0015,14,通用机器学习与优化算法,数字技术与测量,关联基础研究,关联基础或环境研究,12972,120,0
C0016,15,生物质能源利用与可持续性,生物质与资源循环,宽泛待细分,关联基础或环境研究,14627,14627,0
C0017,16,电磁场耦合与电磁换能,电力电子与电机,宽泛待细分,能源电力直接相关,11236,11236,0
C0018,17,电力智能算法与多场景辨识,数字技术与测量,混杂待重分,质量限制观察,5803,5803,0
C0019,18,太阳能采集光学与空间应用,太阳能,混杂待重分,质量限制观察,12392,12392,0
C0020,19,纳米复合材料与多类器件,能源材料与电化学基础,混杂待重分,质量限制观察,11869,11869,0
C0021,20,金属离子吸附与材料化学,碳与环境,混杂待重分,质量限制观察,12882,12882,0
C0022,21,钠离子电池材料与电解液,电化学储能,宽泛待细分,能源电力直接相关,2536,2536,0
C0023,22,功率半导体器件与电路结构,电力电子与电机,宽泛待细分,能源电力直接相关,2786,2786,0
C0024,23,海洋资源开发与海上工程,风能与水能海洋能源,宽泛待细分,能源电力直接相关,8670,8670,0
C0025,24,通用防护支撑与安装结构混杂簇024,制造与通用装置,混杂待重分,质量限制观察,2257,2257,0
C0026,25,硫化镉等硫族薄膜制备,太阳能,方向候选,能源电力直接相关,6429,86,0
C0027,26,变压器与高压开关设备,电网与电力系统,宽泛待细分,能源电力直接相关,13474,13474,0
C0028,27,电动汽车充电设施及并网,交通与充电,宽泛待细分,能源电力直接相关,6665,6665,0
C0029,28,聚变等离子体诊断,核能与等离子体,方向候选,能源电力直接相关,12510,852,0
C0030,29,碳基电极与多孔材料制备,能源材料与电化学基础,混杂待重分,质量限制观察,2546,2546,0
C0031,30,车辆驱动制动与运动控制,交通与充电,宽泛待细分,能源电力直接相关,14154,14154,0
C0032,31,煤炭产业布局与清洁利用政策,能源政策与治理,政策类群,能源治理与政策研究,1739,16,0
C0033,32,石油产业与油价经济,化石能源,宽泛待细分,能源电力直接相关,19492,19492,0
C0034,33,污泥资源化与水处理,生物质与资源循环,宽泛待细分,关联基础或环境研究,9785,9785,0
C0035,34,太阳能集热与热利用装置,太阳能,宽泛待细分,能源电力直接相关,1814,1814,0
C0036,35,风机传动支撑与轴承部件,风能与水能海洋能源,混杂待重分,质量限制观察,2006,2006,0
C0037,36,光催化二氧化碳转化与氧化还原,碳与环境,宽泛待细分,能源电力直接相关,17096,17096,0
C0038,37,电气计量校准与测量不确定度,数字技术与测量,宽泛待细分,关联基础或环境研究,10427,10427,0
C0039,38,碳达峰与综合节能政策,能源政策与治理,政策类群,能源治理与政策研究,862,29,0
C0040,39,碳定价与减排经济机制,碳与环境,方向候选,能源电力直接相关,17615,501,0
C0041,40,电池单体与模组构件装配,电化学储能,宽泛待细分,能源电力直接相关,4989,4989,0
C0042,41,无线充电与充电器结构,交通与充电,宽泛待细分,能源电力直接相关,2024,2024,0
C0043,42,气体处理气化与天然气水合物,化石能源,混杂待重分,质量限制观察,10603,10603,0
C0044,43,二氧化碳及混合气体膜分离,碳与环境,方向候选,能源电力直接相关,6911,873,0
C0045,44,铜铟镓硒薄膜光伏,太阳能,方向候选,能源电力直接相关,16487,1182,0
C0046,45,煤气化与燃煤清洁转化,化石能源,宽泛待细分,能源电力直接相关,7769,7769,0
C0047,46,分离膜制备与膜污染控制,碳与环境,宽泛待细分,关联基础或环境研究,15227,15227,0
C0048,47,配电网柔性调度与协同规划,电网与电力系统,宽泛待细分,能源电力直接相关,10358,10358,0
C0049,48,电池隔膜、聚合物电解质与粘结剂,电化学储能,宽泛待细分,能源电力直接相关,5322,5322,0
C0050,49,固态及凝胶聚合物电解质,电化学储能,方向候选,能源电力直接相关,10596,1786,0
C0051,50,储能及通用装置温控换热,热工与能效,混杂待重分,质量限制观察,3344,3344,0
C0052,51,电气故障保护与暂态检测,电网与电力系统,宽泛待细分,能源电力直接相关,2875,2875,0
C0053,52,电能变换与驱动控制电路,电力电子与电机,宽泛待细分,能源电力直接相关,2268,2268,0
C0054,53,电价与输配电价监管政策,能源政策与治理,政策类群,能源治理与政策研究,735,50,0
C0055,54,含铜化合物结构与功能,能源材料与电化学基础,混杂待重分,质量限制观察,9722,9722,0
C0056,55,电储能系统配置与运行,电化学储能,宽泛待细分,能源电力直接相关,9423,9423,0
C0057,56,射频微波电路与功率放大,电力电子与电机,关联基础研究,关联基础或环境研究,18791,350,0
C0058,57,有价金属浸出回收,生物质与资源循环,方向候选,关联基础或环境研究,16905,261,0
C0059,58,厌氧过程微生物与生物能源,生物质与资源循环,宽泛待细分,能源电力直接相关,9884,9884,0
