row_id,doc_id,policy_group,date,title,publisher,url,original_category_id,policy_form,start,end,quote,category_id,name,similarity,candidate_id,retrieval_basis,review_state,decision,support_strength,issue_year,issue_date_reviewed,review_reason,unit_id,unit_name,reviewer
5112976,policy:a14b321c0ac0281206e864d3,PGb9ba6e943b8bc238,2026-03-27,关于印发《山东省促进虚拟电厂高质量发展方案》的通知,山东省能源局,http://nyj.shandong.gov.cn/art/2026/3/27/art_59960_10311577.html,C0246,政策或规则文本,7445.0,7508.0,"强化虚拟电厂源头管控,制定虚拟 电厂资源聚合、系统建设、基线获取、数据交互、安全防护等技 术标准,严格虚拟电厂接入和运行管理。",C0246,虚拟电厂资源聚合与调度,0.3236674146,3fd1202463307495,当前750类别词项检索,未复核，不能计为支持,采用,2,2026.0,2026-03-26,本轮重读：条款明确对应统一定义的部署/运行或系统应用；同政策组仅计一次,U0246,虚拟电厂资源聚合、调度与市场履约,Codex辅助条款复核，非独立专家
5115723,policy:e6c773ad157ddd142c3557db,PGac6aa0c45898145a,2026-05-28,河北省发展和改革委员会关于印发《河北省2026年电力负荷管理工作方案》的通知,河北省发展和改革委员会,https://hbdrc.hebei.gov.cn/xxgk_2232/zc/wzcwj/202606/t20260615_135806.html,C0006,政策或规则文本,4183.0,4242.0,"省负荷管理中心结合虚拟电厂建设契机,研究引导虚拟电厂聚合需求侧资源参与削峰填谷的电能量市场机制,服务常态参与市场调节。",C0246,虚拟电厂资源聚合与调度,0.3156344937,3414ae777b01067f,当前750类别词项检索,未复核，不能计为支持,采用,2,2026.0,2026-05-28,本轮重读：条款明确对应统一定义的部署/运行或系统应用；同政策组仅计一次,U0246,虚拟电厂资源聚合、调度与市场履约,Codex辅助条款复核，非独立专家
5118316,policy:42c08185184dae88822ab784,PG7d274c67283d6ea9,2026-04-27,山西省人民政府办公厅关于印发山西省加快能源绿色低碳转型发展实施方案的通知,山西省人民政府办公厅,https://www.shanxi.gov.cn/zcwjk/bgtwj/202604/t20260427_10111833.shtml,C0039,政策或规则文本,22520.0,23084.0,"廊道.(省交通厅、省生态环境厅、省能源局等按照 职责分工负责) 57􀆰深化落实我省支持算电协同高质量发展若干措施等政 策,加快绿色算力新型基础设施建设,推动算力中心与新能源协同 发展,力争打造具有全国影响力的绿色算力中心.支持算力企业 与新能源发电企业签订多年期绿电交易协议,稳定算电双方长期 市场预期.鼓励算力中心通过虚拟电厂、智能微电网等运营模式, 提升算电项目自平衡和协同运行能力.探索开展对绿电全过程关 键数据集成存证,支持算力企业绿电消费溯源.(省数据局、省发 展改革委、省能源局、国网山西电力等按照职责分工负责) 四、创新能源绿色低碳发展政策机制 (十四)稳步提升能源科技创新能力 58􀆰依托怀柔实验室山西研究院、中科院山西煤化所、省校合 作机构等各类创新资源,主动承担国家重大科研任务,争取煤炭、 智能电网、油气、深地等国家科技重大专项落地山西有重大突破. (省科技厅、省自然资源厅、国网山西电力等按照职责分工负责) 59􀆰组织开展能源领域首台(套)项目申报工作,争取更多项 目纳入国家首台(套)清单.开展省级能源领域首台(套)重大技术 装备评定.通过省科技计划项目,支持企业、科研院所、高校联合 开展重大技术装备攻关.(省能源局、省科技厅等按照职责分工负 责) — 8 1 — 60􀆰统筹省实验室、省重点实验室、",C0246,虚拟电厂资源聚合与调度,0.0,244e5730724aaa9e,既有已读条款，需按当前类别重核,未复核，不能计为支持,采用,2,2026.0,2026-04-10,本轮重读：条款明确对应统一定义的部署/运行或系统应用；同政策组仅计一次,U0246,虚拟电厂资源聚合、调度与市场履约,Codex辅助条款复核，非独立专家
5112985,policy:4f837989f36ea285735d3dea,PG0c5b3c750cbcc373,2026-07-07,关于印发《山东省虚拟电厂建设运行管理办法》的通知,山东省能源局,http://nyj.shandong.gov.cn/art/2026/7/7/art_354539_10312576.html,C0246,政策或规则文本,467.0,862.0," 山东省发展和改革委员会 山东省能源局 【第2页】 (此页无正文) 国家 监 公室 家 2026年6月2 【第3页】 — 3 — 山东省虚拟电厂建设运行管理办法 第一章 总 则 第一条 为加强虚拟电厂及其聚合资源服务,鼓励各类市场 主体积极参与虚拟电厂建设,提升源网荷储高效互动水平,有效 支撑全省能源绿色低碳发展和新型电力系统建设,依据国家发展 改革委国家能源局《关于加快推进虚拟电厂发展的指导意见》 (发改能源〔2025〕357 号)、《关于支持电力领域新型经营主 体创新发展的指导意见》(国能发法改〔2024〕93 号)、《电 力需求侧管理办法(2023 年版)》(发改运行规〔2023〕1283 号)、《虚拟电厂管理规范》(GB/T 44241-2024)、《虚拟电 厂资源配置与评估技术规范》(GB/T 44260-2024),以及国家 相关法律法规,结合山东省实际,制定本办法。",C0246,虚拟电厂资源聚合与调度,0.1325042696639985,9a1120d35e8c617c,当前750类别词项检索,未复核，不能计为支持,采用,2,2026.0,2026-06-05,本轮重读：条款明确对应统一定义的部署/运行或系统应用；同政策组仅计一次,U0246,虚拟电厂资源聚合、调度与市场履约,Codex辅助条款复核，非独立专家
5112976,policy:a14b321c0ac0281206e864d3,PGb9ba6e943b8bc238,2026-03-27,关于印发《山东省促进虚拟电厂高质量发展方案》的通知,山东省能源局,http://nyj.shandong.gov.cn/art/2026/3/27/art_59960_10311577.html,C0246,政策或规则文本,2950.0,3004.0,"制定《山东省虚拟电厂建设运行管理办法》,明确虚拟电厂全流程业务要求,规范和指导虚拟电厂建设、运营和管理工作。",C0246,虚拟电厂资源聚合与调度,0.1634546190642689,66edb2c058569e3d,当前750类别词项检索,未复核，不能计为支持,采用,2,2026.0,2026-03-26,本轮重读：条款明确对应统一定义的部署/运行或系统应用；同政策组仅计一次,U0246,虚拟电厂资源聚合、调度与市场履约,Codex辅助条款复核，非独立专家
5113836,policy:a21e152d7039da228a4eb2eb,PG5ac3fa0f783a35bd,2026-08-04,北京市发展和改革委员会关于公开征集北京市2026年新能源供热新技术的通知,北京市发展和改革委员会,https://fgw.beijing.gov.cn/fgwzwgk/2024zcwj/bwqtwj/202608/t20260804_4808656.htm,C0442,项目名单或行政实施,446.0,568.0, 二、征集要求 (一)技术范围 技术范围包括浅层地源热泵(不含水源热泵)、中深层水热型地热、中深层井下换热型地热、再生水(污水)源热泵、生物质供热、工业余热利用、绿电蓄热、绿氢供热、集中式空气源热泵供热及以新能源为主的多能耦合能源系统创新技术。,C0650,空气源热泵,0.3168497698,35df2953a159a114,当前750类别词项检索,未复核，不能计为支持,采用,2,2026.0,2026-08-03,本轮重读：条款明确对应统一定义的部署/运行或系统应用；同政策组仅计一次,U0650,空气源热泵设备、运行与系统应用,Codex辅助条款复核，非独立专家
5113835,policy:6c37a3bfc3dd6da9e4100797,PGcce94a18e35ebd3a,2026-08-04,北京市发展和改革委员会关于公开征集市政府固定资产投资支持新能源供热项目的通知,北京市发展和改革委员会,https://fgw.beijing.gov.cn/fgwzwgk/2024zcwj/bwqtwj/202608/t20260804_4808639.htm,C0434,项目名单或行政实施,120.0,249.0,浅层地源热泵(不含水源热泵)、中深层水热型地热、中深层井下换热型地热、再生水源热泵、污水源热泵、生物质供热、城市和工业余热利用(鼓励优先应用低碳热泵技术)、绿电蓄热、绿氢供热、城镇集中式空气源热泵和新能源多能耦合综合能源站以及创新应用新技术等新能源供热系统。,C0650,空气源热泵,0.3054981489,ab8fb64417418e8d,当前750类别词项检索,未复核，不能计为支持,采用,2,2026.0,2026-08-03,本轮重读：条款明确对应统一定义的部署/运行或系统应用；同政策组仅计一次,U0650,空气源热泵设备、运行与系统应用,Codex辅助条款复核，非独立专家
5113835,policy:6c37a3bfc3dd6da9e4100797,PGcce94a18e35ebd3a,2026-08-04,北京市发展和改革委员会关于公开征集市政府固定资产投资支持新能源供热项目的通知,北京市发展和改革委员会,https://fgw.beijing.gov.cn/fgwzwgk/2024zcwj/bwqtwj/202608/t20260804_4808639.htm,C0434,项目名单或行政实施,133.0,398.0,")、中深层水热型地热、中深层井下换热型地热、再生水源热泵、污水源热泵、生物质供热、城市和工业余热利用(鼓励优先应用低碳热泵技术)、绿电蓄热、绿氢供热、城镇集中式空气源热泵和新能源多能耦合综合能源站以及创新应用新技术等新能源供热系统。 (二)支持范围。新能源供热系统的取热装置及配套设施,供热设备机房,热泵机组及配套设施,供热设备机房至用户建筑间一次管网,与综合能源站同步建设的储能、智能控制监测系统等。 (三)支持比例。对新能源供热装机占比达到60%及以上的新能源供热新建及改扩建项目,给予新能源建设投资30%的市政府固定资产投资",C0650,空气源热泵,0.0,8fe08e0ff21a6ddf,专项词项条款补查,未复核,采用,2,2026.0,2026-08-03,本轮重读：条款明确对应统一定义的部署/运行或系统应用；同政策组仅计一次,U0650,空气源热泵设备、运行与系统应用,Codex辅助条款复核，非独立专家
5113836,policy:a21e152d7039da228a4eb2eb,PG5ac3fa0f783a35bd,2026-08-04,北京市发展和改革委员会关于公开征集北京市2026年新能源供热新技术的通知,北京市发展和改革委员会,https://fgw.beijing.gov.cn/fgwzwgk/2024zcwj/bwqtwj/202608/t20260804_4808656.htm,C0442,项目名单或行政实施,460.0,725.0,"围 技术范围包括浅层地源热泵(不含水源热泵)、中深层水热型地热、中深层井下换热型地热、再生水(污水)源热泵、生物质供热、工业余热利用、绿电蓄热、绿氢供热、集中式空气源热泵供热及以新能源为主的多能耦合能源系统创新技术。 (二)技术条件 1.先进性和创新性。申报技术需在综合能源利用、供热系统效率、智慧运行管理、节能降碳效果、环境影响评价等方面有一定创新性,申报单位拥有专利或自主知识产权,能引领新能源供热技术发展方向。 2.成熟度与可靠性。技术应完成研发并至少在一个项目中成功应用,具有稳定运行的工程案例,能提供相关证明材料,如项目",C0650,空气源热泵,0.0,383df38c585f7164,专项词项条款补查,未复核,采用,2,2026.0,2026-08-03,本轮重读：条款明确对应统一定义的部署/运行或系统应用；同政策组仅计一次,U0650,空气源热泵设备、运行与系统应用,Codex辅助条款复核，非独立专家
5118316,policy:42c08185184dae88822ab784,PG7d274c67283d6ea9,2026-04-27,山西省人民政府办公厅关于印发山西省加快能源绿色低碳转型发展实施方案的通知,山西省人民政府办公厅,https://www.shanxi.gov.cn/zcwjk/bgtwj/202604/t20260427_10111833.shtml,C0039,政策或规则文本,7889.0,8154.0,"清洁供暖 45.推动热源多元化,加强工业余热供暖,因地制宜发展生物质能、地热能及太阳能供热,在具备条件的区域优先实施集中式可再生能源供暖项目。推进蓄热式电锅炉、空气源热泵等技术在农村地区的应用。(省自然资源厅、省发展改革委、省住建厅等按照职责分工负责) 46.制定地热供暖城市级突破工作方案,优化审批流程,强化政策支持,攻关同层等量回灌关键技术,实施城市级地热资源精细化评价,在地热利用适宜区加快项目谋划与建设,推广“地热+”多能互补模式,提升我省地热能供暖占比,力争到2030年达到1亿平方米。(省自然资源厅、省科技厅、省发展改",C0650,空气源热泵,0.0,6c6f7459c91da909,专项词项条款补查,未复核,采用,2,2026.0,2026-04-10,本轮重读：条款明确对应统一定义的部署/运行或系统应用；同政策组仅计一次,U0650,空气源热泵设备、运行与系统应用,Codex辅助条款复核，非独立专家
