category_id,topic_id,name,top_keywords,recent_papers,all_recent_patents,all_policy_documents,all_patent_paper_share_ratio,all_may_share_ratio,all_may_patents,all_may_papers,confidence_filtered_recent_patents,confidence_filtered_policy_documents,confidence_filtered_patent_paper_share_ratio,confidence_filtered_may_share_ratio,confidence_filtered_may_patents,confidence_filtered_may_papers,patent_confident_retention,policy_confident_retention,potential_signal_score,potential_numeric_candidate,policy_task_support_verified,applicant_diversity_verified,interpretation,reviewed_policy_family_count,potential_followup,fully_verified_potential_hotspot,review_display_name
N0001,0,Electrochemistry / Chemical engineering / Electrode,Electrochemistry | Chemical engineering | Electrode | Chemistry | Nanotechnology | Catalysis | Inorganic chemistry | Physical chemistry | Organic chemistry | Electrolyte | Composite material | Cyclic voltammetry | Anode | Metallurgy | Carbon fibers,12,7,0,2.867005473025801,3.3728381900023696,5,4,6,0,3.4487032013022247,4.625324886289799,5,4,0.8571428571428571,,80.56,False,False,False,跨来源数值信号；政策具体任务支持和专利主体多样性待审阅,0,False,False,Electrochemistry / Chemical engineering / Electrode
N0002,1,Engineering / Electrical engineering / Computer science,Engineering | Electrical engineering | Computer science | Power (physics) | Voltage | Electronic engineering | Control theory (sociology) | Automotive engineering | Mechanical engineering | Renewable energy | Photovoltaic system | Telecommunications | Control (management) | Grid | Environmental science,7,133,4,85.05449569976544,510.5250533049041,92,0,64,0,57.03624525230602,314.1016081871345,41,0,0.4812030075187969,0.0,85.32000000000001,False,False,False,跨来源数值信号；政策具体任务支持和专利主体多样性待审阅,0,False,False,Engineering / Electrical engineering / Computer science
N0003,2,Photocatalysis / Visible spectrum / Catalysis,Photocatalysis | Visible spectrum | Catalysis | Photochemistry | Chemical engineering | Nanotechnology | Chemistry | Organic chemistry | Nuclear chemistry | Diffuse reflectance infrared fourier transform | Optoelectronics | Hydrogen production | Degradation (telecommunications) | Irradiation | Heterojunction,52,0,0,0.0455080233813619,0.0641766251797491,0,21,0,0,0.0631630622949125,0.0880082959336325,0,21,,,61.41000000000001,False,False,False,跨来源数值信号；政策具体任务支持和专利主体多样性待审阅,0,False,False,Photocatalysis / Visible spectrum / Catalysis
N0004,3,Environmental science / Waste management / Engineering,Environmental science | Waste management | Engineering | Process engineering | Environmental engineering | Natural resource economics | Renewable energy | Pulp and paper industry | Meteorology | Environmental economics | Biomass (ecology) | Chemistry | Business | Economics | Geography,12,0,5,0.19113369820172,2.7595948827292114,0,0,0,0,0.2652848616386326,3.784356725146199,0,0,,0.0,59.78,False,False,False,跨来源数值信号；政策具体任务支持和专利主体多样性待审阅,0,False,False,Environmental science / Waste management / Engineering
N0005,4,Optoelectronics / Nanotechnology / Energy conversion efficiency,Optoelectronics | Nanotechnology | Energy conversion efficiency | Layer (electronics) | Thin film | Engineering physics | Solar cell | Optics | Planar | Photovoltaic system | Electrical engineering | Tandem | Polymer solar cell | Perovskite (structure) | Band gap,1,1,0,4.778342455043003,8.278784648187633,1,0,0,0,2.210707180321939,3.784356725146199,0,0,0.0,,63.870000000000005,False,False,False,跨来源数值信号；政策具体任务支持和专利主体多样性待审阅,0,False,False,Optoelectronics / Nanotechnology / Energy conversion efficiency
N0006,5,Business / Environmental economics / Economics,Business | Environmental economics | Economics | Natural resource economics | Industrial organization | Finance | Renewable energy | Marketing | Operations management | Commerce | Supply chain | Economic growth | Revenue | Agricultural economics | Portfolio,19,0,212,0.122521601411359,2.7595948827292114,0,0,0,13,0.170054398486303,3.784356725146199,0,0,,0.0613207547169811,62.09,False,False,False,跨来源数值信号；政策具体任务支持和专利主体多样性待审阅,0,False,False,Business / Environmental economics / Economics
N0007,6,Supercapacitor / Capacitance / Electrode,Supercapacitor | Capacitance | Electrode | Power density | Nanotechnology | Pseudocapacitance | Graphene | Pseudocapacitor | Composite material | Horizontal scan rate | Specific surface area | Chemical engineering | Cyclic voltammetry | Capacitive sensing | Energy storage,118,1,0,0.0604853475321899,0.0303252184915297,0,45,1,0,0.0839509055818457,0.0415863376389692,0,45,1.0,,68.18,False,False,False,跨来源数值信号；政策具体任务支持和专利主体多样性待审阅,0,False,False,Supercapacitor / Capacitance / Electrode
N0008,7,Lithium (medication) / Anode / Lithium-ion battery,Lithium (medication) | Anode | Lithium-ion battery | Ion | Battery (electricity) | Lithium metal | Cathode | Lithium iron phosphate | Lithium titanate | Lithium vanadium phosphate battery | Electrolyte | Lithium battery | Current collector | Energy density | Composite material,33,27,0,3.9225199257815695,10.787507268850552,21,5,24,0,4.850357544885448,13.417264752791066,19,5,0.8888888888888888,,92.13,False,False,False,跨来源数值信号；政策具体任务支持和专利主体多样性待审阅,0,False,False,Lithium (medication) / Anode / Lithium-ion battery
N0009,8,Computer science / Artificial intelligence / Telecommunications,Computer science | Artificial intelligence | Telecommunications | Mathematics | Programming language | Database | World Wide Web | Data science | Operating system | Distributed computing | Algorithm | Real-time computing | Business | Data mining | Code (set theory),13,4,0,1.5927808183476673,6.439054726368159,3,1,2,0,1.2281706557344103,3.784356725146199,1,1,0.5,,74.39000000000001,False,False,False,跨来源数值信号；政策具体任务支持和专利主体多样性待审阅,0,False,False,Computer science / Artificial intelligence / Telecommunications
N0010,9,Control theory (sociology) / Voltage / Control (management),Control theory (sociology) | Voltage | Control (management) | Electronic engineering | AC power | Three-phase | Automatic frequency control | Voltage source | Control engineering | Observer (physics) | Engineering | Controller (irrigation) | Physics | Sliding mode control | Decoupling (probability),42,19,0,2.192415949960907,1.4609619967389942,13,25,17,0,2.7308735756918066,2.003482972136223,13,25,0.8947368421052632,,90.97,False,False,False,跨来源数值信号；政策具体任务支持和专利主体多样性待审阅,0,False,False,Control theory (sociology) / Voltage / Control (management)
N0011,10,Graphene / Nanotechnology / Oxide,Graphene | Nanotechnology | Oxide | Graphene oxide paper | Graphene nanoribbons | Exfoliation joint | Graphene foam | Graphite oxide | Zigzag | Anode | Bilayer graphene | Lithium (medication) | Nanoparticle | Catalysis | Composite number,34,5,0,0.7617647392097538,0.6231343283582089,3,15,4,0,0.8650593314303239,0.6103801169590642,2,15,0.8,,81.88,False,False,False,跨来源数值信号；政策具体任务支持和专利主体多样性待审阅,0,False,False,Graphene / Nanotechnology / Oxide
N0012,11,Renewable energy / Thermodynamics / Automotive engineering,Renewable energy | Thermodynamics | Automotive engineering | Enthalpy | Energy storage | Mechanical engineering | Power (physics) | Intermittent energy source | Pumped-storage hydroelectricity | Stand-alone power system | Isothermal process | Thermal | Diesel generator | Physics | Wind power,0,0,0,4.778342455043003,2.7595948827292114,0,0,0,0,6.632121540965817,3.784356725146199,0,0,,,66.39,False,False,False,跨来源数值信号；政策具体任务支持和专利主体多样性待审阅,0,False,False,Renewable energy / Thermodynamics / Automotive engineering
N0013,12,Overpotential / Oxygen evolution / Catalysis,Overpotential | Oxygen evolution | Catalysis | Electrocatalyst | Water splitting | Electrochemistry | Inorganic chemistry | Electrolysis of water | Electrode | Physical chemistry | Tafel equation | Noble metal | Hydrogen production | Phosphide | Nanotechnology,79,0,0,0.0300524682707107,0.0484139453110387,0,28,0,0,0.0417114562324894,0.0663922232481789,0,28,,,61.91,False,False,False,跨来源数值信号；政策具体任务支持和专利主体多样性待审阅,0,False,False,电解水析氧与析氢催化
