family,scenario,category_id,name,baseline_rank,rank,score,unit_id
core,remove_volume,C0004,风能开发与风电技术经济,101.0,127.0,69.60708782742682,
core,remove_volume,C0005,钙钛矿氧化物电催化,88.0,51.0,82.34463276836158,
core,remove_volume,C0009,二氧化碳电还原催化,2.0,3.0,97.6502311248074,
core,remove_volume,C0011,光催化与光生物制氢,31.0,20.0,91.17873651771956,
core,remove_volume,C0012,聚合物介电绝缘与储能,146.0,128.0,69.53004622496148,
core,remove_volume,C0017,电磁场耦合与电磁换能,190.0,195.0,52.73497688751926,
core,remove_volume,C0024,海洋资源开发与海上工程,178.0,180.0,56.98510529019004,
core,remove_volume,C0027,变压器与高压开关设备,188.0,193.0,53.33846944016436,
core,remove_volume,C0028,电动汽车充电设施及并网,83.0,106.0,74.19106317411402,
core,remove_volume,C0031,车辆驱动制动与运动控制,155.0,166.0,60.11813045711351,
core,remove_volume,C0033,石油产业与油价经济,135.0,167.0,60.00256805341552,
core,remove_volume,C0037,光催化二氧化碳转化与氧化还原,3.0,2.0,97.84283513097073,
core,remove_volume,C0044,二氧化碳及混合气体膜分离,116.0,98.0,75.44940934771444,
core,remove_volume,C0046,煤气化与燃煤清洁转化,148.0,122.0,70.58294812532101,
core,remove_volume,C0048,配电网柔性调度与协同规划,100.0,125.0,69.73549049820237,
core,remove_volume,C0050,固态及凝胶聚合物电解质,34.0,29.0,88.19979455572677,
core,remove_volume,C0056,电储能系统配置与运行,52.0,61.0,80.50847457627118,
core,remove_volume,C0059,厌氧过程微生物与生物能源,53.0,42.0,85.05392912172573,
core,remove_volume,C0060,超级电容器电极与器件,1.0,1.0,98.2794042116076,
core,remove_volume,C0063,生物质热解与炭化,32.0,39.0,85.34925526450951,
core,remove_volume,C0067,钙钛矿太阳能电池界面与器件性能,5.0,7.0,96.21212121212122,
core,remove_volume,C0069,宽禁带半导体外延与结器件,156.0,135.0,67.07755521314843,
core,remove_volume,C0072,氢能产业与制氢技术经济,20.0,31.0,87.50642013353878,
core,remove_volume,C0082,智能电网体系与通信,143.0,154.0,63.26399589111455,
core,remove_volume,C0083,配电网电压无功与电能质量,158.0,162.0,61.36363636363637,
core,remove_volume,C0086,光伏组件性能建模与故障检测,60.0,82.0,77.73497688751927,
core,remove_volume,C0088,污水厌氧处理与产能回收,114.0,118.0,71.59732922444788,
core,remove_volume,C0091,等离子体湍流与不稳定性,172.0,177.0,58.346173600410886,
core,remove_volume,C0098,建筑与工业冷却节能,120.0,129.0,69.2090395480226,
core,remove_volume,C0102,电力设备与线路故障检测、定位和诊断,70.0,112.0,72.91987673343606,
core,remove_volume,C0104,发动机燃气轮机与动力机械,184.0,190.0,54.50693374422188,
core,remove_volume,C0105,微电网能量管理与优化,69.0,89.0,76.88751926040062,
core,remove_volume,C0106,电动汽车推广与整车能耗,57.0,109.0,73.87005649717516,
core,remove_volume,C0109,水系锌电池与锌空气电池,22.0,24.0,89.94607087827427,
core,remove_volume,C0115,二氧化碳吸收溶解与水合物,82.0,74.0,79.25012840267078,
core,remove_volume,C0117,制冷循环工质与能效,122.0,147.0,65.21571648690293,
core,remove_volume,C0120,电力载波与通信传输,180.0,182.0,56.20184899845917,
core,remove_volume,C0121,波浪能装置与海洋水动力,59.0,110.0,73.70313302516693,
