family,category_id,name,quality_retained,geometry_retained,dedup_retained,exclude_needs_review_retained,supported_only_retained,data_scenarios_passed,robustness_grade,time_sensitivity_note,scope
core,C0060,超级电容器电极与器件,False,False,True,True,True,3,存在数据敏感性,所列时间长度/删年检验均保留,压力测试通过数，不是准确率或置信度
core,C0067,钙钛矿太阳能电池界面与器件性能,False,True,True,False,False,2,存在数据敏感性,所列时间长度/删年检验均保留,压力测试通过数，不是准确率或置信度
core,C0122,热电材料与热电性能优化,True,True,True,True,False,4,存在数据敏感性,所列时间长度/删年检验均保留,压力测试通过数，不是准确率或置信度
core,C0155,电解水析氧催化,True,True,True,True,False,4,存在数据敏感性,所列时间长度/删年检验均保留,压力测试通过数，不是准确率或置信度
core,C0169,电池荷电状态健康状态与建模,True,True,True,False,False,3,存在数据敏感性,所列时间长度/删年检验均保留,压力测试通过数，不是准确率或置信度
core,C0191,固态储氢材料与反应器,True,True,True,True,True,5,五项均保留,所列时间长度/删年检验均保留,压力测试通过数，不是准确率或置信度
core,C0245,碳基超级电容器电极,False,True,True,False,False,2,存在数据敏感性,所列时间长度/删年检验均保留,压力测试通过数，不是准确率或置信度
core,C0251,充电站选址与充电调度,True,True,True,True,False,4,存在数据敏感性,所列时间长度/删年检验均保留,压力测试通过数，不是准确率或置信度
core,C0254,电催化析氢与界面调控,True,True,True,True,True,5,五项均保留,所列时间长度/删年检验均保留,压力测试通过数，不是准确率或置信度
core,C0278,整体电催化水分解,False,True,True,True,False,3,存在数据敏感性,所列时间长度/删年检验均保留,压力测试通过数，不是准确率或置信度
core,C0473,二氧化碳地质封存与驱油,True,True,True,True,False,4,存在数据敏感性,所列时间长度/删年检验均保留,压力测试通过数，不是准确率或置信度
core,C0556,水系锌离子电池,True,True,True,True,True,5,五项均保留,所列时间长度/删年检验均保留,压力测试通过数，不是准确率或置信度
emerging,C0091,等离子体湍流与不稳定性,False,True,True,True,False,3,存在数据敏感性,所列时间长度/删年检验均保留,压力测试通过数，不是准确率或置信度
emerging,C0098,建筑与工业冷却节能,True,True,True,False,False,3,存在数据敏感性,所列时间长度/删年检验均保留,压力测试通过数，不是准确率或置信度
emerging,C0186,煤热解气化与煤质特性,True,True,True,True,False,4,存在数据敏感性,所列时间长度/删年检验均保留,压力测试通过数，不是准确率或置信度
emerging,C0191,固态储氢材料与反应器,True,True,True,True,True,5,五项均保留,所列时间长度/删年检验均保留,压力测试通过数，不是准确率或置信度
emerging,C0210,地热资源开发与换热,True,True,True,True,False,4,存在数据敏感性,所列时间长度/删年检验均保留,压力测试通过数，不是准确率或置信度
emerging,C0216,电力可靠性与电气安全,True,True,True,False,False,3,存在数据敏感性,所列时间长度/删年检验均保留,压力测试通过数，不是准确率或置信度
emerging,C0246,虚拟电厂资源聚合与调度,True,True,True,True,True,5,五项均保留,所列时间长度/删年检验均保留,压力测试通过数，不是准确率或置信度
emerging,C0251,充电站选址与充电调度,True,True,True,True,False,4,存在数据敏感性,所列时间长度/删年检验均保留,压力测试通过数，不是准确率或置信度
emerging,C0294,电池管理与均衡控制,True,True,False,False,False,2,存在数据敏感性,所列时间长度/删年检验均保留,压力测试通过数，不是准确率或置信度
emerging,C0348,智能电网信息安全与韧性,True,True,True,False,False,3,存在数据敏感性,所列时间长度/删年检验均保留,压力测试通过数，不是准确率或置信度
emerging,C0381,光伏发电功率预测方法与装置,True,True,True,True,True,5,五项均保留,所列时间长度/删年检验均保留,压力测试通过数，不是准确率或置信度
emerging,C0435,智能电表物联网与用能监测,True,True,True,False,False,3,存在数据敏感性,所列时间长度/删年检验均保留,压力测试通过数，不是准确率或置信度
emerging,C0443,建筑能效与居民供热用能,True,True,True,False,False,3,存在数据敏感性,所列时间长度/删年检验均保留,压力测试通过数，不是准确率或置信度
emerging,C0473,二氧化碳地质封存与驱油,True,True,True,True,False,4,存在数据敏感性,所列时间长度/删年检验均保留,压力测试通过数，不是准确率或置信度
emerging,C0533,氮化镓功率与结器件,True,True,True,True,True,5,五项均保留,所列时间长度/删年检验均保留,压力测试通过数，不是准确率或置信度
emerging,C0534,氢能技术经济与生命周期,False,False,True,True,True,3,存在数据敏感性,所列时间长度/删年检验均保留,压力测试通过数，不是准确率或置信度
emerging,C0542,光伏组件故障与缺陷检测,True,True,True,True,True,5,五项均保留,所列时间长度/删年检验均保留,压力测试通过数，不是准确率或置信度
emerging,C0566,蒸汽重整制氢与合成气,False,False,True,True,True,3,存在数据敏感性,未保留情景：omit_baseline_year_1,压力测试通过数，不是准确率或置信度
emerging,C0600,直接空气捕碳,True,True,True,True,True,5,五项均保留,所列时间长度/删年检验均保留,压力测试通过数，不是准确率或置信度
emerging,C0665,换热器结构与传热强化,True,True,True,True,True,5,五项均保留,所列时间长度/删年检验均保留,压力测试通过数，不是准确率或置信度
emerging,C0713,电价预测,False,True,True,True,True,4,存在数据敏感性,所列时间长度/删年检验均保留,压力测试通过数，不是准确率或置信度
emerging,C0725,废塑料回收与转化,False,True,False,True,True,3,存在数据敏感性,未保留情景：omit_baseline_year_1；omit_baseline_year_2,压力测试通过数，不是准确率或置信度
