category_id,row_id,doc_id,date,title,title_only,needs_review,annual_block,name,review_purpose,excerpt
C0155,3931786,paper:W4404242056,2024-01-01,Interfacial Engineering of Ruo2/Coooh Heterojunction for Efficient Oxygen Evolution Reaction,True,False,2023H2_2024H1,电解水析氧催化,新增候选或新类型补审,
C0155,3763980,paper:W4396505831,2024-04-30,Effect of Interlayer Anions on NiFe Layered Double Hydroxides for Catalytic Ozone Decomposition,False,False,2023H2_2024H1,电解水析氧催化,新增候选或新类型补审,"NiFe layered double hydroxides (NiFe-LDH) exhibited an outstanding performance and promising application potential for removing ozone. However, the effect of interlayer anions on ozone removal remains ambiguous. Here, a series of NiFe-LDH with different interlayer anions (F –, Cl –, Br –, NO 3 –, CO 3 2–, and SO 4 2– ) were prepared to investigate the effect of the interlayer anion on ozone removal for the first time. It was found that the interlayer anions are a key factor affecting the water resistance of the NiFe-LDH catalyst under moist conditions. NiFe-LDH-CO 3 2– exhibited the best water resistance, which was much better than that of Ni"
C0155,3727206,paper:W4392954314,2024-03-01,The effect of intrinsic magnetic order on electrochemical water splitting,False,True,2023H2_2024H1,电解水析氧催化,新增候选或新类型补审,"To reach a long term viable green hydrogen economy, rational design of active oxygen evolution reaction (OER) catalysts is critical. An important hurdle in this reaction originates from the fact that the reactants are singlet molecules, whereas the oxygen molecule has a triplet ground state with parallel spin alignment, implying that magnetic order in the catalyst is essential. Accordingly, multiple experimentalists reported a positive effect of external magnetic fields on OER activity of ferromagnetic catalysts. However, it remains a challenge to investigate the influence of the intrinsic magnetic order on catalytic activity. Here, we tuned "
C0191,3622367,paper:W4388572488,2023-11-10,Improvement of the thermodynamic properties of lithium borohydride LiBH4 by mechanical treatment for hydrogen storage applications: A DFT investigation,True,False,2023H2_2024H1,固态储氢材料与反应器,新增候选或新类型补审,
C0191,3787754,paper:W4399056816,2024-05-27,"Coverage, repulsion, and reactivity of hydrogen on High-Entropy alloys",False,False,2023H2_2024H1,固态储氢材料与反应器,新增候选或新类型补审,"Modeling hydrogen evolution reaction (HER) activity probability on IrPdPtRhRu(1 1 1) high-entropy alloys. Determining hydrogen coverages based on ligand effects and generalized hydrogen–hydrogen repulsion. The rate of H2 formation is highly impacted by the level of hydrogen coverage on the catalyst surface. In search of optimal catalytic properties high-entropy alloys (HEA) are promising candidates that utilize the compositional space of multiple elements. Based on simulations of HEA model (1 1 1) surfaces with a range of hydrogen coverages, distributions of binding energies are used to construct a framework that approximates the probability "
C0191,3660689,paper:W4390473122,2023-12-31,Hydrogen storage capacity of two-dimensional MoS2,True,False,2023H2_2024H1,固态储氢材料与反应器,新增候选或新类型补审,
C0159,3718947,paper:W4392649410,2024-03-11,Short-term global horizontal irradiance forecasting using weather classified categorical boosting,False,True,2023H2_2024H1,太阳辐照预测与光伏环境建模,新增候选或新类型补审,"Accurate short-term solar irradiance (SI) forecasting is crucial for renewable energy integration to ensure unit commitment and economic load dispatch. However, hourly SI prediction is very challenging due to atmospheric conditions and weather fluctuations. This study proposes a hybrid approach using weather classification and boosting algorithms for short-term global horizontal irradiance (GHI) forecasting. In data pre-processing steps, we employ random forest for feature selection and K-means clustering for weather classification. The weather-based clustered data is used for the model training using categorical boosting (CatBoost). The prop"
C0159,3796833,paper:W4399409939,2024-06-01,Advancing Solar Energetic Particle Event Prediction through Survival Analysis and Cloud Computing. I. Kaplan-Meier Estimation and Cox Proportional Hazards Modeling,False,True,2023H2_2024H1,太阳辐照预测与光伏环境建模,新增候选或新类型补审,"Abstract Solar energetic particles (SEPs) pose significant challenges to technology, astronaut health, and space missions. This initial paper in our two-part series undertakes a comprehensive analysis of the time to detection for SEPs, applying advanced statistical techniques and cloud-computing resources to deepen our understanding of SEP event probabilities over time. We employ a range of models encompassing nonparametric, semiparametric, and parametric approaches, such as the Kaplan–Meier estimator and Cox Proportional Hazards models. These are complemented by various distribution models—including exponential, Weibull, lognormal, and log-l"
C0159,3761074,paper:W4395665541,2024-04-24,DEVELOPMENT OF A WEBGIS FOR SOLAR PV RESOURCE AND INSTALLATION ASSESSMENT USING GEOSPATIAL TECHNOLOGIES,False,True,2023H2_2024H1,太阳辐照预测与光伏环境建模,新增候选或新类型补审,"Abstract. The SINAG Web Portal, a web-based GIS platform that hosts spatial data and a forecasting model for solar PV installation assessment, serves as a repository for the products and outputs of the SolarPot and OutSolar components of a research project called Solar PV Resource and Installation Assessment Using Geospatial Technologies (SINAG). The website was developed with frontend and backend services which involved the use of a content management system, database systems, cloud virtual machines, Linux operating systems, programming languages, specifically Python and JavaScript, and a style scripting framework. All outputs generated by t"
C0067,3665585,paper:W4390640209,2024-01-06,"Investigation strain effects on the electronic, optical, and output performance of the novel inorganic halide perovskite Sr3SbI3 solar cell",True,True,2023H2_2024H1,钙钛矿太阳能电池界面与器件性能,既有核心跨年抽样核对,
C0556,3534142,paper:W4383341853,2023-07-06,Bulk-Phase Reconstruction Enables Robust Zinc Metal Anodes for Aqueous Zinc-Ion Batteries,False,False,2023H2_2024H1,水系锌离子电池,既有核心跨年抽样核对,"Abstract Aqueous zinc‐ion batteries are inherently safe, but the severe dendrite growth and corrosion reaction on zinc anodes greatly hinder their practical applications. Most of the strategies for zinc anode modification refer to the research of lithium metal anodes on surface regulation without considering the intrinsic mechanisms of zinc anode. Herein, we first point out that surface modification cannot permanently protect zinc anodes due to the unavoidable surface damage during the stripping process by solid–liquid conversion. A bulk‐phase reconstruction strategy is proposed to introduce abundant zincophilic sites both on the surface and "
