category_id,name,source,doc_id,date,title,text_excerpt,confidence,needs_review
N0007,Supercapacitor / Capacitance / Electrode,paper,W4415541935,2025-10-25,Self-assembled hierarchical porous reduced graphene oxide supported bimetallic Co/Ni-S heterostructure for high-performance supercapacitor,,0.07496864348649979,True
N0007,Supercapacitor / Capacitance / Electrode,paper,W4417506775,2025-12-19,Zn2+-induced MoO3 quantum dots/Ti3C2Tx MXene fibers for high-performance fiber-shaped supercapacitors,,0.22831924259662628,True
N0007,Supercapacitor / Capacitance / Electrode,paper,W7133356080,2026-01-01,Harnessing Medium-Entropy NixZn1-xCo2S4 Sulfide Electrode Materials for Enhanced Supercapacitor Performance and Electrocatalytic Activity,,0.007570814806967974,True
N0007,Supercapacitor / Capacitance / Electrode,paper,W4412413842,2025-07-01,Analysis of a Network of Non-Identical Parallel-Connected Supercapacitors,"Supercapacitors are widely used in various applications ranging from wind turbine pitch control systems to regenerative braking in electric and hybrid vehicles. This is due to their unique properties including high power density, scalability, high reversibility, and long operational lifetime. Although it is well-known that associating non-identical supercapacitors in parallel increases the equivalent capacitance of the network at a constant voltage, their dynamic behavior in the time domain remains under-explored. However, this cannot be simply done using the models of ideal capacitors, because supercapacitors exhibit a combined resistive-capacitor, dispersive nature. In this work, we analyze the behavior of supercapacitors connected in parallel (two or more different devices) in both the time and frequency domains using the constant phase element (CPE) as the building model. The CPE has a fractional impedance of the form z ( s ) = ( C α s α ) - 1 with C α a positive constant representing a pseudocapacitance, and α a dispersion coefficient that takes values between zero and one. From our theoretical analysis we obtain explicit expressions for the power-law-like voltage response of the supercapacitor network under constant current excitation in terms of the generalized Mittag-Leffler function. The derived formlæ are validated by experimental time and frequency-domain data of real commercially-available devices.",0.4797115921974182,True
N0007,Supercapacitor / Capacitance / Electrode,paper,W7167020310,2026-01-01,Research on an Oil-Water Multi-Interface Detection Method Based on Planar Capacitance,,0.43526363372802734,True
N0007,Supercapacitor / Capacitance / Electrode,patent,patent:CN202510945829A,2025-11-07,一种双功能多酸基金属有机框架材料,本发明公开了一种双功能多酸基金属有机框架材料，属于电化学和催化化学双功能技术领域，具体为多酸基金属有机框架材料、制备方法及其超级电容器和催化合成对亚砜类化合物的应用，该多酸基金属有机框架材料作为超级电容器电极材料表很好的电化学容量，在电流密度为1A·g时，电容量分别为447.5F·g，278.6F·g，204.2F·g，391.9F·g和289.6F·g，并且在1000次恒电流充放电循环后电容量还能够保持90％以上，该催化材料可作为多相催化剂，在选择性催化氧化硫醚类化合物中具有优异的催化活性，选择性和转化率都能够达到99％以上；该催化剂可以重复利用8次以上，且结构和催化活性没有发生变化；并且多酸基催化剂的制备工艺简单、条件温和、产品纯度高，在电化学和催化领域中都具有潜在的应用价值。,0.7165489792823792,True
N0013,Overpotential / Oxygen evolution / Catalysis,paper,W7164210349,2026-06-10,Strain-Dependent Oxygen Evolution Activity on N- and Ni-Doped Nb 2 CO 2 MXenes: Distinct Roles of Nonmetal and Single-Atom Active Sites,"The oxygen evolution reaction (OER) is a key half-reaction in electrochemical water splitting and various renewable energy conversion technologies; however, its sluggish kinetics and high overpotential severely limit overall efficiency, motivating the development of efficient, low-cost, and tunable electrocatalysts. Using first-principles calculations, this work evaluates the OER catalytic properties of Nb 2 C, Nb 2 CO 2, Nb 2 CO 2 -supported single-atom catalysts (Ni@Nb 2 CO 2 ), and nonmetal atom-modified Nb 2 CO 2 (N-doped Nb 2 CO 2 ) under biaxial tensile strains ranging from 0% to 6%, based on Gibbs free-energy analyses of the OH*, O*, and OOH* intermediates. The results show that among the four materials only N-doped Nb 2 CO 2 and Ni@Nb 2 CO 2 are suitable OER catalysts, as they can adsorb all key intermediates with reasonable binding strengths. In contrast, pristine Nb 2 C binds OH* too strongly, while Nb 2 CO 2 fails to adsorb OOH*, leading to poor catalytic activity. At zero strain, the overpotentials of N-doped Nb 2 CO 2 and Ni@Nb 2 CO 2 are 0.96 and 0.77 V, respectively. Under tensile strains from 1% to 6%, the overpotential of N-doped Nb 2 CO 2 decrease significantly to 0.78 V, whereas that of Ni@Nb 2 CO 2 shows only a slight reduction to 0.73 V, indicating that Ni@Nb 2 CO 2 is essentially insensitive to strain. To clarify these different strain responses, we further analyzed the charge density difference and the bond length between the dopant atoms and their neighboring atoms. Overall, this study demonstrates that strain engineering effectively enhances the OER catalytic performance of N doped Nb 2 CO 2, enabling it to reach a level comparable to that of Ni doping. This work provides a cost-effective strategy for designing high-performance OER catalysts.",0.29172083735466003,True
N0013,Overpotential / Oxygen evolution / Catalysis,paper,W4416563169,2025-11-23,Synergistic Effects in Condensed DNA Framework-Mediated Synthesis of Amorphous Nanoalloys for Enhanced Electrocatalytic Oxygen Evolution,"Noble metal electrocatalysts exhibit excellent oxygen evolution reaction (OER) activity but are limited by high cost and scarcity. Amorphous nanoalloys (ANAs) offer promising alternatives, yet constructing amorphous structures at the nanoscale remains challenging. Here, we report a strategy for synthesizing FeCoNi ANAs using a condensed DNA framework (CDF) as a confined growth template. Fish sperm DNA undergoes phase separation with Fe 2+ , Co 2+ , and Ni 2+ ions to form compartmentalized structures with intrinsic self-confinement, which suppress atomic diffusion and promote amorphization. The DNA framework further improves nanoparticle dispersibility and electrode adhesion, enabling binder-free electrode integration. As a result, FeCoNi ANAs achieve outstanding OER activity, achieving an overpotential of only 280 mV at 10 mA cm -2 and a Tafel slope of 44.1 mV dec -1 , outperforming commercial RuO 2 . Mechanistic studies reveal that the DNA framework facilitates proton transfer and modulates intermediate adsorption, thereby enabling OER to proceed through both the adsorbate evolution mechanism (AEM) and the lattice oxygen mechanism (LOM). This work presents an effective strategy for the design of high-performance amorphous nanoalloy electrocatalysts.",0.11734382063150406,True
N0013,Overpotential / Oxygen evolution / Catalysis,paper,W7111290101,2025-09-05,Electron-Rich CoSites via Heterointerface EngineeringEnable Cl - Repulsion and OH - Affinityfor Efficient Seawater Hydrogen Evolution,"Seawater electrolysis offers a sustainable pathway for green hydrogen production, but chloride-induced side reactions, particularly chlorine evolution (ClER), limit the stability and efficiency of catalysts. Based on an interface-engineering strategy, a bifunctional CoP-MXene electrocatalyst was designed and fabricated, in which electrons are transferred from the Ti sites of the MXene support to the adjacent Co active centers of CoP. This directional electron donation modulates the Co electronic structure, generating electron-rich Co sites that effectively suppress Cl - adsorption via electronic repulsion while preserving the OH - reaction pathways through favorable proton-electron coupling. X-ray absorption fine structure (XAFS) spectroscopy, in situ Raman spectroscopy, and density functional theory (DFT) calculations further validate this electron modulation mechanism. In 1 M KOH electrolyte, CoP-MXene achieves a hydrogen evolution reaction (HER) overpotential of only 93 mV at 10 mA cm -2 and an oxygen evolution reaction (OER) current density of 50 mA cm -2 at 346 mV. In alkaline seawater, CoP-MXene exhibits exceptional HER performance (10 mA cm -2 @ 101 mV). Moreover, in an anion exchange membrane (AEM) electrolyzer (at 2 A cm -2 current density), the catalyst maintains over 500 h of stability in seawater with only 8.5% current decay, significantly outperforming the control samples. This study provides a new design strategy for the development of chloride-resistant electrocatalysts, advancing the application of seawater electrolysis technologies.",0.08174173533916473,True
N0013,Overpotential / Oxygen evolution / Catalysis,paper,W7166329590,2026-06-27,Three-dimensional interpenetrating network assembled by Co-Fe-Mo sulfides anchored on N-enriched porous carbon/graphene oxide nanosheets for efficient oxygen evolution reaction,,0.32271328568458557,True
