family,category_id,name,baseline_rank,min_rank,median_rank,max_rank,top10_trial_fraction,formal_selected,unit_id,top1_trial_fraction
core,C0004,风能开发与风电技术经济,101.0,94.0,101.0,109.0,0.0,False,,
core,C0005,钙钛矿氧化物电催化,88.0,80.0,88.0,99.0,0.0,False,,
core,C0009,二氧化碳电还原催化,2.0,2.0,2.0,3.0,1.0,False,,
core,C0011,光催化与光生物制氢,31.0,26.0,31.0,40.0,0.0,False,,
core,C0012,聚合物介电绝缘与储能,146.0,139.0,146.0,153.0,0.0,False,,
core,C0017,电磁场耦合与电磁换能,190.0,188.0,190.0,192.0,0.0,False,,
core,C0024,海洋资源开发与海上工程,178.0,173.0,178.0,180.0,0.0,False,,
core,C0027,变压器与高压开关设备,188.0,184.0,187.0,190.0,0.0,False,,
core,C0028,电动汽车充电设施及并网,83.0,77.0,83.0,88.0,0.0,False,,
core,C0031,车辆驱动制动与运动控制,155.0,139.0,155.0,159.0,0.0,False,,
core,C0033,石油产业与油价经济,135.0,118.0,135.0,148.0,0.0,False,,
core,C0037,光催化二氧化碳转化与氧化还原,3.0,2.0,4.0,4.0,1.0,False,,
core,C0044,二氧化碳及混合气体膜分离,116.0,109.0,115.0,121.0,0.0,False,,
core,C0046,煤气化与燃煤清洁转化,148.0,139.0,148.0,158.0,0.0,False,,
core,C0048,配电网柔性调度与协同规划,100.0,93.0,100.0,106.0,0.0,False,,
core,C0050,固态及凝胶聚合物电解质,34.0,32.0,34.0,39.0,0.0,False,,
core,C0056,电储能系统配置与运行,52.0,50.0,52.0,55.0,0.0,False,,
core,C0059,厌氧过程微生物与生物能源,53.0,49.0,53.0,62.0,0.0,False,,
core,C0060,超级电容器电极与器件,1.0,1.0,1.0,1.0,1.0,True,,
core,C0063,生物质热解与炭化,32.0,28.0,32.0,37.0,0.0,False,,
core,C0067,钙钛矿太阳能电池界面与器件性能,5.0,5.0,5.0,7.0,1.0,True,,
core,C0069,宽禁带半导体外延与结器件,156.0,149.0,156.0,161.0,0.0,False,,
core,C0072,氢能产业与制氢技术经济,20.0,19.0,20.0,28.0,0.0,False,,
core,C0082,智能电网体系与通信,143.0,129.0,143.0,147.0,0.0,False,,
core,C0083,配电网电压无功与电能质量,158.0,145.0,158.0,163.0,0.0,False,,
core,C0086,光伏组件性能建模与故障检测,60.0,56.0,59.0,64.0,0.0,False,,
core,C0088,污水厌氧处理与产能回收,114.0,107.0,113.0,124.0,0.0,False,,
core,C0091,等离子体湍流与不稳定性,172.0,166.0,171.0,174.0,0.0,False,,
core,C0098,建筑与工业冷却节能,120.0,115.0,120.0,131.0,0.0,False,,
core,C0102,电力设备与线路故障检测、定位和诊断,70.0,63.0,70.0,82.0,0.0,False,,
core,C0104,发动机燃气轮机与动力机械,184.0,182.0,184.0,185.0,0.0,False,,
core,C0105,微电网能量管理与优化,69.0,66.0,68.0,71.0,0.0,False,,
core,C0106,电动汽车推广与整车能耗,57.0,49.0,57.0,71.0,0.0,False,,
core,C0109,水系锌电池与锌空气电池,22.0,21.0,22.0,25.0,0.0,False,,
core,C0115,二氧化碳吸收溶解与水合物,82.0,80.0,82.0,84.0,0.0,False,,
core,C0117,制冷循环工质与能效,122.0,111.0,122.0,138.0,0.0,False,,
core,C0120,电力载波与通信传输,180.0,178.0,180.0,181.0,0.0,False,,
core,C0121,波浪能装置与海洋水动力,59.0,52.0,59.0,67.0,0.0,False,,
core,C0122,热电材料与热电性能优化,16.0,14.0,16.0,20.0,0.0,True,,
core,C0123,磁约束等离子体运行与边界,154.0,142.0,154.0,157.0,0.0,False,,
core,C0124,电力系统碳计量与低碳调度,163.0,162.0,164.0,164.0,0.0,False,,
core,C0125,重整气化与合成气制氢,73.0,69.0,74.0,77.0,0.0,False,,
core,C0127,质子交换及功能聚合物膜,62.0,56.0,62.0,70.0,0.0,False,,
core,C0129,生物质与污泥厌氧消化产气,46.0,42.0,46.0,46.0,0.0,False,,
core,C0130,能源网络安全与隐私保护,79.0,65.0,79.0,91.0,0.0,False,,
core,C0132,超级电容器复合电极材料,19.0,17.0,19.0,22.0,0.0,False,,
core,C0136,电力市场机制与产消者经济,119.0,107.0,119.0,137.0,0.0,False,,
core,C0137,电解与其他路线制氢技术,41.0,39.0,41.0,45.0,0.0,False,,
core,C0138,光伏出力预测与系统参数建模,43.0,42.0,44.0,45.0,0.0,False,,
core,C0139,变压器油纸绝缘诊断,196.0,194.0,196.0,197.0,0.0,False,,
core,C0140,厌氧微生物产甲烷机制,85.0,80.0,85.0,90.0,0.0,False,,
core,C0143,微电网变流器协调与功率分配,63.0,60.0,64.0,72.0,0.0,False,,
core,C0144,能源作物种植与生物质采收,170.0,166.0,171.0,174.0,0.0,False,,
core,C0146,铁基催化剂与氧电催化,9.0,8.0,9.0,10.0,1.0,False,,
core,C0150,储能技术与能量转换综述,124.0,114.0,124.0,131.0,0.0,False,,
core,C0151,多孔碳吸附二氧化碳,29.0,24.0,29.0,31.0,0.0,False,,
core,C0154,无线电能传输电路与系统,110.0,106.0,110.0,127.0,0.0,False,,
core,C0155,电解水析氧催化,3.0,2.0,3.0,4.0,1.0,True,,
core,C0156,电力交易竞价与市场优化,89.0,84.0,89.0,95.0,0.0,False,,
core,C0158,有机光伏材料、器件与载流子输运,18.0,17.0,18.0,19.0,0.0,False,,
core,C0159,太阳辐照预测与光伏环境建模,98.0,91.0,97.0,104.0,0.0,False,,
core,C0161,车辆操稳道路与轮胎交互,164.0,160.0,164.0,168.0,0.0,False,,
core,C0164,输电线路雷电接地与电磁影响,195.0,194.0,195.0,196.0,0.0,False,,
core,C0165,天然气供能与燃气动力系统,187.0,186.0,187.0,188.0,0.0,False,,
core,C0166,多类太阳能电池结构与性能,92.0,90.0,92.0,95.0,0.0,False,,
core,C0169,电池荷电状态健康状态与建模,35.0,33.0,34.0,36.0,0.0,True,,
core,C0171,最优潮流与电网优化运行,160.0,152.0,159.0,162.0,0.0,False,,
core,C0172,燃烧稳定与低污染排放,130.0,124.0,129.0,138.0,0.0,False,,
core,C0176,光伏最大功率点跟踪,67.0,59.0,67.0,79.0,0.0,False,,
core,C0181,聚变装置与粒子束工程,193.0,192.0,193.0,194.0,0.0,False,,
core,C0183,通用控制器与电力控制算法,64.0,59.0,64.0,75.0,0.0,False,,
core,C0185,风电场运行与功率优化,107.0,104.0,107.0,121.0,0.0,False,,
core,C0186,煤热解气化与煤质特性,102.0,94.0,102.0,103.0,0.0,False,,
core,C0189,风力机叶片与气动设计,44.0,41.0,44.0,49.0,0.0,False,,
core,C0191,固态储氢材料与反应器,15.0,15.0,15.0,16.0,0.0,True,,
core,C0195,碳捕集封存与碳移除系统,65.0,60.0,66.0,77.0,0.0,False,,
core,C0196,混合动力与整车能量管理,50.0,48.0,50.0,56.0,0.0,False,,
core,C0200,直流输电保护与故障限流,147.0,136.0,147.0,149.0,0.0,False,,
core,C0205,电池测试表征与性能评估,86.0,81.0,85.0,87.0,0.0,False,,
core,C0210,地热资源开发与换热,97.0,91.0,96.0,102.0,0.0,False,,
core,C0211,直流变换器拓扑与设计,90.0,85.0,90.0,96.0,0.0,False,,
core,C0212,等离子体波与高能粒子作用,149.0,134.0,149.0,152.0,0.0,False,,
core,C0213,电力电缆绝缘与运行诊断,185.0,185.0,186.0,187.0,0.0,False,,
core,C0216,电力可靠性与电气安全,176.0,172.0,176.0,180.0,0.0,False,,
core,C0220,局部放电电晕与放电物理,192.0,191.0,192.0,192.0,0.0,False,,
core,C0221,锂金属沉积与含锂电极材料,26.0,22.0,26.0,30.0,0.0,False,,
core,C0222,木质纤维素预处理与生化转化,49.0,42.0,49.0,55.0,0.0,False,,
core,C0223,泵水轮机与水力机械流动,105.0,101.0,105.0,120.0,0.0,False,,
core,C0227,空调通风与空气处理,162.0,153.0,161.0,162.0,0.0,False,,
core,C0228,能源审计与综合节能评估,145.0,127.0,145.0,154.0,0.0,False,,
core,C0233,半导体光电化学水分解,25.0,21.0,24.0,26.0,0.0,False,,
core,C0234,软开关谐振与交流变换器,167.0,165.0,167.0,169.0,0.0,False,,
core,C0235,热电发电器件与热设计,95.0,89.0,95.0,105.0,0.0,False,,
core,C0236,氢能供给加氢与系统集成,47.0,42.0,47.0,51.0,0.0,False,,
core,C0237,分布式光伏部署与技术经济,45.0,36.0,45.0,55.0,0.0,False,,
core,C0243,生物油热解与燃料升级,72.0,68.0,71.0,76.0,0.0,False,,
