category_id,name,domain,status,analysis_scope,admissible_pool,direct_energy,year0_papers,year0_denominator,year0_share,year1_papers,year1_denominator,year1_share,year2_papers,year2_denominator,year2_share,year3_papers,year3_denominator,year3_share,year4_papers,year4_denominator,year4_share,recent_papers,previous_papers,share_growth_ratio,baseline_years_used,baseline_papers,baseline_annual_mean_papers,baseline_mean_share,multiyear_share_ratio,historical_peak_ratio,three_year_log_share_slope,growing_quarters,active_quarters,core_years,core_papers,core_mean_annual_share,core_active_quarters,core_active_years,core_persistence,recent_institutions,core_institutions,baseline_mean_institutions,institution_expansion,citation_cohort_percentile,pooled_baseline_share,pooled_share_ratio,share_ratio_lower95,growth_count_pvalue,growth_count_qvalue,core_score,emerging_score,core_eligible,emerging_eligible,trajectory,end_quarter
C0001,电池与充电设施热管理,电化学储能,宽泛待细分,能源电力直接相关,True,True,35,385955,9.189035280718557e-05,31,326601,9.633734586024662e-05,30,289391,0.00010525734558229744,27,256207,0.00010717821203357991,24,239411,0.00010217443887466324,35,31,0.9538393650629304,3,88,29.333333333333332,0.00010292430115870799,0.8927954989511349,0.857360381962665,-0.06790610646308526,1,0,3,96,9.782834808324322e-05,0,0,0.0,48,127,44.0,1.0888888888888888,0.3949681268190703,0.0001014240626009943,0.906001499552284,0.6137908724297717,0.7033889155975999,1.0,25.0,34.01001540832049,False,False,近期份额下降,2026Q2
C0002,功能传感材料与电化学检测,其他基础与关联学科,关联基础研究,关联基础或环境研究,False,False,1536,385955,0.003977169777133539,1120,326601,0.0034268570170287727,929,289391,0.0032077607448769006,782,256207,0.00304970730604641,628,239411,0.0026210871360296266,1536,1120,1.1605881883516431,3,2831,943.6666666666666,0.0032281083559840273,1.2320434565837783,1.1605881883516431,0.10749867430743265,4,4,3,3585,0.0035372625130130706,12,3,1.0,1936,3000,1249.0,1.5496,0.6346819276689296,0.0032449969859289873,1.225631270037973,1.1518295247222397,5.415284220351172e-11,7.521228083821073e-10,94.46841294298922,77.27272727272727,False,False,平稳或增长证据不足,2026Q2
C0003,电力电子控制与频率调节,电网与电力系统,混杂待重分,质量限制观察,False,False,231,385955,0.0005992286387285482,199,326601,0.0006101365237815619,190,289391,0.0006574270273254971,180,256207,0.0007034788098931336,177,239411,0.0007402433836837847,231,199,0.9821222224406305,3,569,189.66666666666666,0.0006570141203333975,0.9120483414031856,0.8095021879783867,-0.046345273417320865,3,4,3,620,0.0006222640632785357,12,3,1.0,253,657,277.6666666666667,0.9114832535885167,0.28598198169166,0.0006526667079239125,0.9181234946618511,0.7880469940394179,0.8654547826777641,1.0,50.069337442218796,40.281201848998464,False,False,近期份额下降,2026Q2
C0004,风能开发与风电技术经济,风能与水能海洋能源,宽泛待细分,能源电力直接相关,True,True,1064,385955,0.002755416353894339,812,326601,0.0024848918575063614,731,289391,0.002524450763719691,642,256207,0.002504072772057276,680,239411,0.002837947169559524,1064,812,1.1088677141304066,3,2185,728.3333333333334,0.0025044717977611096,1.1001985953116193,0.9709188329682703,0.04377251903959012,4,4,3,2607,0.002588252991706797,12,3,1.0,1286,2385,944.3333333333334,1.3614245416078985,0.3230836083751459,0.002504658630672012,1.1001165269196975,1.0224063781086117,0.005163369928883273,0.02375783709608868,74.12172573189522,67.24961479198767,True,False,历史峰值以下的恢复或波动,2026Q2
C0005,钙钛矿氧化物电催化,能源材料与电化学基础,方向候选,能源电力直接相关,True,True,670,385955,0.001735562860766702,618,326601,0.0018915761401448424,550,289391,0.0018998088112476964,495,256207,0.0019311565113686853,414,239411,0.0017286246903488944,670,618,0.9175220726953164,3,1663,554.3333333333334,0.0019075138209204078,0.9098559820286196,0.8987168313647668,-0.045210739617588036,1,4,3,1838,0.0018423159373864137,12,3,1.0,933,1720,805.6666666666666,1.1578512396694216,0.5874043083466682,0.0019064285665169945,0.9103739270638078,0.8323025776124644,0.9799454895822509,1.0,76.34822804314331,34.780431432973806,True,False,近期份额下降,2026Q2
C0006,电网建设与供电服务政策,能源政策与治理,宽泛待细分,能源治理与政策研究,True,False,34,385955,8.930189216472963e-05,19,326601,5.963740458015267e-05,22,289391,7.764886149513746e-05,18,256207,7.210170627713558e-05,15,239411,6.464097153295022e-05,34,19,1.4974141278181865,3,59,19.666666666666668,6.979599078414191e-05,1.2794702268918803,1.150073426000224,0.06991289451638227,3,0,3,75,7.552938608000659e-05,0,0,0.0,35,71,15.0,2.25,0.1365019816682583,6.818905903682668e-05,1.309622004264652,0.8609798432822935,0.10929676232886648,0.3332218363684954,15.261941448382126,80.7588597842835,False,False,多年背景上持续抬升,2026Q2
C0007,层状电池正极与离子导体,电化学储能,混杂待重分,质量限制观察,False,False,589,385955,0.0015258975487277716,602,326601,0.0018426428851047172,577,289391,0.0019929874450418613,591,256207,0.0023053059061040916,570,239411,0.002379204790938587,589,602,0.828102700237032,3,1770,590.0,0.0020469787454168898,0.7454388826186887,0.6413477118654468,-0.13352597410634903,1,4,3,1768,0.0017871759596247833,12,3,1.0,940,1696,778.6666666666666,1.2069260367678496,0.5197838436534963,0.0020290542693227167,0.752024020154525,0.6851014402377856,0.9999999991146121,1.0,72.58089368258861,20.342835130970727,False,False,近期份额下降,2026Q2
C0008,电极涂布与通用成形加工,制造与通用装置,混杂待重分,质量限制观察,False,False,33,385955,8.67134315222737e-05,29,326601,9.022068898023097e-05,26,289391,9.145310353871744e-05,29,256207,0.00011497299109056753,34,239411,0.0001438782914765666,33,29,0.9611257961161683,3,84,28.0,9.888226120317199e-05,0.8769361710297547,0.6026859968405774,-0.02660875997766521,2,0,3,88,8.94624080137407e-05,0,0,0.0,45,109,38.0,1.1794871794871795,0.2054970283733138,9.683992417835049e-05,0.8954306011493072,0.6001220625190629,0.7189276207647713,1.0,17.76579352850539,39.345146379044685,False,False,近期份额下降,2026Q2
C0009,二氧化碳电还原催化,碳与环境,方向候选,能源电力直接相关,True,True,2844,385955,0.007362876297465897,2472,326601,0.007561717067919358,2062,289391,0.007117812303720933,1755,256207,0.006841867317270892,1448,239411,0.006040803049385702,2844,2472,0.9737042832114091,3,6289,2096.3333333333335,0.007173798896303728,1.0263566631704146,0.9737042832114091,0.016925120093845614,2,4,3,7378,0.007347468556368729,12,3,1.0,2321,3332,1578.6666666666667,1.469930365055919,0.6328002599241704,0.007207984652304561,1.021488897747835,0.977237407297323,0.16749656222745946,0.4669978500765598,98.22033898305085,52.75808936825885,True,False,近期份额下降,2026Q2
C0010,土壤碳过程与土壤改良,碳与环境,关联基础研究,关联基础或环境研究,True,False,986,385955,0.0025535164237827763,458,326601,0.0014022435897435897,389,289391,0.0013441880689936017,371,256207,0.0014478802098354523,362,239411,0.0015117646568189968,986,458,1.8210219982176599,3,1218,406.0,0.0013981039561908812,1.8264138460345993,1.689096521912212,0.32084061717884627,4,4,3,1833,0.001766649360839989,12,3,1.0,1575,2287,702.3333333333334,2.2407582938388626,0.3442476545074568,0.0013964431669978706,1.828585999151278,1.681350221352257,7.4506349627918e-47,7.982823174419785e-45,68.28197226502311,95.26964560862865,False,False,多年背景上持续抬升,2026Q2
C0011,光催化与光生物制氢,氢能与燃料电池,宽泛待细分,能源电力直接相关,True,True,1132,385955,0.0029314316775813426,1014,326601,0.003102674202387943,821,289391,0.002835046209700241,720,256207,0.0028080691552797936,626,239411,0.0026127463655092457,1132,1014,0.9448080869480897,3,2555,851.6666666666666,0.0029152631891226593,1.0055461505221932,0.9448080869480897,0.016716347042845747,1,4,3,2967,0.002956384029889842,12,3,1.0,1352,2164,993.0,1.3611670020120725,0.6341195875550799,0.002928691434766564,1.000935654327475,0.9332968320743985,0.48623253350839735,0.9640102827763496,88.63636363636364,46.52927580893683,True,False,近期份额下降,2026Q2
C0012,聚合物介电绝缘与储能,能源材料与电化学基础,宽泛待细分,能源电力直接相关,True,True,479,385955,0.0012411668780576192,411,326601,0.0012585021530632217,440,289391,0.0015201921550492467,380,256207,0.0014829567155918966,401,239411,0.0016744096819664202,479,411,0.9862254705219152,3,1231,410.3333333333333,0.0014205503412347883,0.8737225581029088,0.7412563910882297,-0.10139238842345843,2,4,3,1330,0.0013399537287233625,12,3,1.0,700,1415,607.0,1.1529605263157894,0.4433018287880111,0.001411341616871463,0.8794234246481925,0.7913674027596483,0.9915990939783806,1.0,65.86286594761171,36.42526964560863,True,False,近期份额下降,2026Q2
C0013,集成电路与电子封装,电力电子与电机,宽泛待细分,能源电力直接相关,True,True,267,385955,0.0006924132218569616,191,326601,0.0005856698962614993,180,289391,0.0006229164222165471,165,256207,0.0006450179669657264,152,239411,0.0006359837521790263,267,191,1.1822585150386522,3,536,178.66666666666666,0.0006178680951479243,1.1206489334769592,1.0734789685226762,0.05288528138447557,3,4,3,638,0.0006336665134450027,12,3,1.0,385,786,267.6666666666667,1.4367245657568237,0.3663585480198866,0.0006148475659371011,1.126154286390711,0.9724915439021184,0.056800115253266975,0.20000040582136258,54.03697996918336,68.85593220338984,False,False,平稳或增长证据不足,2026Q2
C0014,电池单体模组及用电器件混合,电化学储能,混杂待重分,质量限制观察,False,False,1,385955,3.882690963683897e-06,2,326601,7.645821100019573e-06,1,289391,5.176590766342497e-06,2,256207,9.743473821234536e-06,1,239411,6.255577890285504e-06,1,2,0.5078187042166025,3,5,1.6666666666666667,7.521961895865535e-06,0.5161806211512489,0.3984914451375767,-0.1438091128970873,1,0,3,4,5.568367610015323e-06,0,0,0.0,4,6,1.6666666666666667,1.8749999999999998,0.0879101927926462,6.303190331135239e-06,0.6159882154446388,0.10127183951182668,0.7716073318941715,1.0,4.167950693374422,17.684899845916796,False,False,近期份额下降,2026Q2
C0015,通用机器学习与优化算法,数字技术与测量,关联基础研究,关联基础或环境研究,True,False,1512,385955,0.003915046721714596,1119,326601,0.003423798688588765,969,289391,0.0033458031653127007,726,256207,0.0028314534924507567,690,239411,0.002879651022161427,1512,1119,1.1434804081101848,3,2814,938.0,0.0032003517821174074,1.2233176188913628,1.1434804081101848,0.07856024471405743,3,4,3,3600,0.003561549525205354,12,3,1.0,1455,2642,1078.6666666666667,1.3485643717196665,0.4330721756900483,0.003225514397632751,1.2137743748990557,1.1402484352384405,5.043215700362878e-10,6.410867415715524e-09,85.75500770416025,71.26733436055468,False,False,平稳或增长证据不足,2026Q2
C0016,生物质能源利用与可持续性,生物质与资源循环,宽泛待细分,关联基础或环境研究,True,False,891,385955,0.002307612662749463,741,326601,0.0022677505382658054,635,289391,0.0021931489546737713,526,256207,0.0020519755867519935,559,239411,0.0023333305530764932,891,741,1.0175778260487773,3,1902,634.0,0.0021709583598971904,1.0629465333728207,0.9889780338696028,0.025437560439755647,2,4,3,2267,0.0022561707185630134,12,3,1.0,1218,2445,950.6666666666666,1.2809106830122592,0.3447104730385351,0.0021803308372699624,1.058377299125335,0.9774440479417822,0.07996438168453962,0.26419949895773004,72.41140215716486,55.10785824345147,False,False,历史峰值以下的恢复或波动,2026Q2
C0017,电磁场耦合与电磁换能,电力电子与电机,宽泛待细分,能源电力直接相关,True,True,417,385955,0.0010806823182253514,385,326601,0.0011789856136230183,366,289391,0.0012648136772430167,404,256207,0.001576494064275748,401,239411,0.0016744096819664202,417,385,0.9166204453542217,3,1155,385.0,0.001340097785047261,0.8064204942979135,0.645410934889126,-0.07866610141498542,2,4,3,1168,0.001174827203030462,12,3,1.0,471,1056,434.0,1.085057471264368,0.2162757663943489,0.0013242429868412307,0.8160755457751343,0.7296661172757047,0.9998214579426623,1.0,54.59938366718028,29.44530046224962,True,False,近期份额下降,2026Q2
C0018,电力智能算法与多场景辨识,数字技术与测量,混杂待重分,质量限制观察,False,False,688,385955,0.0017821551523309088,465,326601,0.0014236518888236446,352,289391,0.001216498830090487,288,256207,0.0011243968789704656,253,239411,0.0010571926634582503,688,465,1.2518194695779832,3,1105,368.3333333333333,0.0012548491992948657,1.420214598959262,1.2518194695779832,0.19092323506110542,4,4,3,1505,0.00147410195708168,12,3,1.0,761,1357,455.0,1.6710526315789473,0.3388126336519761,0.001266941256558183,1.4066596561646227,1.278978748292527,7.696592620166621e-13,1.2827654366944367e-11,61.95685670261941,84.38366718027734,False,False,多年背景上持续抬升,2026Q2
C0019,太阳能采集光学与空间应用,太阳能,混杂待重分,质量限制观察,False,False,538,385955,0.0013938860559625191,493,326601,0.0015092850851438637,459,289391,0.0015857623047562516,321,256207,0.0012530107334107615,389,239411,0.001624365058844136,538,493,0.9235406018934157,3,1273,424.3333333333333,0.0014493527077702923,0.9617300526570209,0.8581113268678527,-0.06448483549673645,1,4,3,1490,0.0014963111486208781,12,3,1.0,663,1495,579.6666666666666,1.1435132032146957,0.3236019325629173,0.001459475070309223,0.955059859752995,0.8635264539042624,0.8145553983684475,1.0,61.34822804314331,36.1286594761171,False,False,近期份额下降,2026Q2
C0020,纳米复合材料与多类器件,能源材料与电化学基础,混杂待重分,质量限制观察,False,False,610,385955,0.0015802552222193463,664,326601,0.0020322592483852024,678,289391,0.0023415445566422563,659,256207,0.002570328394041671,648,239411,0.002704494841233433,610,664,0.7775854500231648,3,2001,667.0,0.002314710733023043,0.6827009525097384,0.5843069833694498,-0.1966122057591697,1,4,3,1952,0.0019846863424156018,12,3,1.0,1048,2285,1063.3333333333333,0.9855934857500783,0.5533326927769086,0.0022937882632303964,0.6889281140508738,0.6292429031784078,0.9999999999999998,1.0,78.33590138674886,13.154853620955315,False,False,近期份额下降,2026Q2
C0021,金属离子吸附与材料化学,碳与环境,混杂待重分,质量限制观察,False,False,748,385955,0.0019374627908782646,814,326601,0.002491008514386377,680,289391,0.002348446677664046,594,256207,0.002316998074689573,570,239411,0.002379204790938587,748,814,0.7777824843587617,3,2088,696.0,0.0023854844222466654,0.8121884061827362,0.7777824843587617,-0.09618742201300634,1,4,3,2242,0.002258972660976229,12,3,1.0,1181,2375,1011.0,1.16798418972332,0.4019148747273051,0.0023934932739228996,0.8094707480430025,0.7446269129266622,0.9999996696654067,1.0,74.08320493066256,22.076271186440678,False,False,近期份额下降,2026Q2
C0022,钠离子电池材料与电解液,电化学储能,宽泛待细分,能源电力直接相关,True,True,20,385955,5.3063443170346595e-05,28,326601,8.716236054022314e-05,30,289391,0.00010525734558229744,61,256207,0.00023968945600236961,32,239411,0.00013553752095618593,20,28,0.6087885050549912,3,119,39.666666666666664,0.0001440363873749634,0.3684030413246129,0.2213841361875426,-0.342460011631589,1,0,3,78,8.182771643095571e-05,0,0,0.0,56,182,80.0,0.7037037037037037,0.385209731345148,0.00013695113537648382,0.3874626013466277,0.24251554471024964,0.9999843908166303,1.0,23.628659476117104,6.2442218798151,False,False,近期份额下降,2026Q2
C0023,功率半导体器件与电路结构,电力电子与电机,宽泛待细分,能源电力直接相关,True,True,1,385955,3.882690963683897e-06,2,326601,7.645821100019573e-06,5,289391,1.898083280992249e-05,8,256207,3.3127810992197426e-05,1,239411,6.255577890285504e-06,1,2,0.5078187042166025,3,15,5.0,1.9918154967379828e-05,0.19493226004329323,0.11720336621693432,-0.7934506049622181,0,0,3,8,1.0169781624541987e-05,0,0,0.0,2,5,1.6666666666666667,1.1249999999999998,0.0740070460708562,1.7763536387744763e-05,0.2185764635448718,0.04090102179115984,0.982943841716627,1.0,4.8382126348228045,4.090909090909091,False,False,近期份额下降,2026Q2
C0024,海洋资源开发与海上工程,风能与水能海洋能源,宽泛待细分,能源电力直接相关,True,True,625,385955,0.001619082131856185,402,326601,0.0012309771971031514,320,289391,0.001106064893741847,258,256207,0.0010074751931156512,230,239411,0.0009612738024738725,625,402,1.3152819854554234,3,980,326.6666666666667,0.0011148390946535498,1.4523011792650984,1.3152819854554234,0.19052541387603306,4,4,3,1347,0.001318708074233728,12,3,1.0,756,1582,504.6666666666667,1.4970336189848383,0.2049387400329824,0.001123686930850564,1.440865856320529,1.3033611488035421,3.3754006953599105e-13,5.887326794232402e-12,57.865947611710325,85.36209553158706,True,True,多年背景上持续抬升,2026Q2
C0025,通用防护支撑与安装结构混杂簇024,制造与通用装置,混杂待重分,质量限制观察,False,False,6,385955,1.6824994175963555e-05,3,326601,1.0704149540027403e-05,1,289391,5.176590766342497e-06,7,256207,2.923042146370361e-05,3,239411,1.4596348410666177e-05,6,3,1.5718197987656741,3,11,3.6666666666666665,1.5037053923357838e-05,1.1189022970668754,0.5755987540876109,0.5893594214996263,1,0,3,10,1.090191149411115e-05,0,0,0.0,6,11,3.0,1.75,0.1418313966524288,1.3179397965100954e-05,1.2766132580954108,0.4879249650037798,0.33984771452172213,0.7513736809647422,6.371340523882897,76.65254237288136,False,False,历史峰值以下的恢复或波动,2026Q2
