category_id,name,source,core_review_pass,emerging_review_pass,decision,reason,read_records,read_row_ids,patent_review_pass
C0009,二氧化碳电还原催化,paper,True,False,方向证据可用（含边界说明）,中心与随机支持CO2电还原；边界4158823为含能材料催化，计数不是纯净主题量。,5.0,4158823;4226106;4235518;4266947;4436712,
C0011,光催化与光生物制氢,paper,False,False,观察或降级,补读15条：制氢证据与污染物净化4161242、过氧化氢合成4249875/4623019、甲烷转化4451075/4538064和CO2制甲酸4590738混合；两条高原相似度样本4147200/4349574同题同摘要，4390672题名残缺。当前1199条不能整体解释为光催化/光生物制氢，保留观察，先清理任务边界。,15.0,4147200;4161242;4218166;4249875;4336413;4349574;4380541;4390672;4405115;4413762;4451075;4538064;4590738;4623019;4658679,
C0024,海洋资源开发与海上工程,paper,False,False,观察或降级,海上风电与泛基础设施概念、页岩压裂混合，且中心重复。,5.0,4357317;4375286;4559887;4619065;4619817,
C0037,光催化二氧化碳转化与氧化还原,paper,False,False,观察或降级,中心4592992为亚硝酸盐制氨、随机4494038为有机与生物光化学；CO2光转化边界仍混杂。,5.0,4176518;4275282;4290900;4494038;4592992,
C0048,配电网柔性调度与协同规划,paper,False,False,观察或降级,发电经济调度、能源交易、光伏回收物流与农业物流并存；中心重复。,5.0,4181218;4387013;4432399;4492983;4497935,
C0060,超级电容器电极与器件,paper,True,False,方向证据可用（含边界说明）,电极、电解液与超级电容器用途一致；部分随机记录仅题名，保留证据深度限制。,5.0,4155830;4248541;4276909;4289691;4615445,
C0067,钙钛矿太阳能电池界面与器件性能,paper,True,False,方向证据可用（含边界说明）,中心与随机均涉及钙钛矿光伏；兼有器件比较，仍为宽方向且待复核记录占比高。,5.0,4211899;4258123;4302924;4341897;4607746,
C0072,氢能产业与制氢技术经济,paper,False,False,观察或降级,产业、技术经济与社会研究混合，两条中心重复；作为宽背景观察。,5.0,4552545;4568746;4594657;4594683;4742234,
C0088,污水厌氧处理与产能回收,paper,False,False,观察或降级,石化废水吸附氧化中心与土壤水凝胶、大气集水等混合，不支持厌氧产能专名。,5.0,4246371;4389325;4457714;4656631;4739455,
C0091,等离子体湍流与不稳定性,paper,False,True,方向证据可用（含边界说明）,中心与随机为等离子体湍流和输运；边界4597596是水泵流动，须保留去重敏感性。,5.0,4156223;4210447;4233465;4570820;4597596,
C0098,建筑与工业冷却节能,paper,False,True,方向证据可用（含边界说明）,建筑与工业冷却、冷却塔证据较一致；含高温储热邻近记录，按宽方向解释。,5.0,4146817;4156999;4508064;4574564;4606325,
C0117,制冷循环工质与能效,paper,False,False,观察或降级,中心跨汽车蓄热和热泵，随机有异常系统及NO氧化，制冷专名不可靠。,5.0,4427946;4575222;4582501;4667380;4675564,
C0121,波浪能装置与海洋水动力,paper,False,False,观察或降级,消波、船舶稳性和水下爆炸占样本，不能把增速归为波浪发电。,5.0,4411427;4514542;4581747;4637440;4647349,
C0122,热电材料与热电性能优化,paper,True,False,方向证据可用（含边界说明）,热电材料、性能及输运机制的中心与随机证据一致。,5.0,4180892;4244646;4373883;4565358;4650699,
C0123,磁约束等离子体运行与边界,paper,False,True,方向证据可用（含边界说明）,托卡马克、仿星器运行和等离子体边界语义一致；是否入榜仍须独立通过去重门槛。,5.0,4208578;4244399;4259522;4468630;4472919,
C0124,电力系统碳计量与低碳调度,paper,False,False,观察或降级,电碳计量两条明确，但新中心为冷热电热力经济，随机为尾气捕碳，边界为活性炭LCA；当前残留记录不足支撑专门新兴结论。,5.0,4264799;4368328;4471634;4566642;4642855,
C0130,能源网络安全与隐私保护,paper,False,False,观察或降级,通用工业及信息物理安全与能源安全并存，尚不足以把总增速解释为能源专属网络安全。,5.0,4493692;4537210;4574041;4740631;4767591,
C0140,厌氧微生物产甲烷机制,paper,False,False,观察或降级,厌氧产甲烷中心明确，随机牛反刍减排、生物炭热值及链延长跨任务。,5.0,4367045;4394115;4610907;4661339;4769117,
