unit_id,row_id,source,title,rule_status,rule_reason,excerpt,stage,review_status,review_reason,current_rule_status,apply_override,rule_disagreement_before_correction,reviewer,shown_chars
U0246,4438590,paper,Hybrid Energy Storage System Management for All-Electric Excavators: A Dynamic Programming-Guided Reinforcement Learning Approach with Virtual-Experimental Training,excluded,未发现该分析单元明确技术对象,,diagnostic,excluded,已读题名/内容不满足该技术对象和电力任务,excluded,False,False,Codex辅助阅读，非独立专家盲审,0
U0246,4557304,paper,Performance Evaluation of a Cloud-Native Open-Source Power System Digital Twin for Real-Time Simulation,excluded,未发现该分析单元明确技术对象,"The increasing complexity of Cyber-Physical Energy Systems, driven by the high penetration of power electronics, advanced control, and digitalization, demands scalable, flexible real-time simulation platforms beyond traditional laboratory-based solutions. This paper investigates the feasibility of deploying open-source real-time power system simulation frameworks on cloud-based infrastructures while meeting real-time computational constraints. An open-source architecture based on DPsim and the VILLAS framework is implemented and evaluated across five computing environments using open-source tools: bare-metal, non-cloud virtual machines, priva",diagnostic,excluded,已读题名/内容不满足该技术对象和电力任务,excluded,False,False,Codex辅助阅读，非独立专家盲审,650
U0246,4747659,paper,From Virtual Synchronous Machine to Virtual Synchronous Compensator: Enhancing Stability for Grid-Forming Inverters,excluded,未发现该分析单元明确技术对象,"Tutorial ""From Virtual Synchronous Machine to Virtual Synchronous Compensator: Enhancing Stability for Grid-Forming Inverters"" held at the IEEE Energy Conversion Congress and Exposition (ECCE) 2026.",diagnostic,excluded,已读题名/内容不满足该技术对象和电力任务,excluded,False,False,Codex辅助阅读，非独立专家盲审,198
U0246,4576119,paper,Chance-Constrained Discriminative Pricing for Adjustable Capabilities of Virtual Power Plants Under Uncertainty,pending,仅正文提及或题名对象/任务不完整；扩展口径纳入，严格口径不纳入,,diagnostic,strict,虚拟电厂可调能力定价，属于市场履约任务,strict,False,True,Codex辅助阅读，非独立专家盲审,0
U0246,4660579,paper,System Specification for a Deterministic Spatial Runtime Environment and Massless Structural Supercapacitor Storage Architecture,pending,仅正文提及或题名对象/任务不完整；扩展口径纳入，严格口径不纳入,"System Specification Addendum Low-Frequency Spatial Radio Substructures & Structural Capacity Arbitrage Pipelines Author: Michael Harrison Dale USPTO Provisionals Linked: 63/911,429 | 63/911,437 | 63/911,473 | 63/911,474 | 63/911,484 License: CC BY-NC-ND 4.0 International Intellectual Property Notice & Conditional Legal License LEGAL NOTICE: All source logic, communication protocols, propagation mechanics, arbitrage models, and structural parameters related to the Low-Frequency RF tracking substructure and the integration with carbon-cement supercapacitor systems detailed herein remain the exclusive, sovereign intellectual property of Michael",diagnostic,excluded,法律声明/系统规格材料，已读内容不足以构成目标研究证据,pending,True,True,Codex辅助阅读，非独立专家盲审,650
U0246,4711091,paper,"Sustainable energy planning with district heating , PV solar and hybrid wind-solar systems",pending,仅正文提及或题名对象/任务不完整；扩展口径纳入，严格口径不纳入,"This 50th volume of the International Journal of Sustainable Energy Planning and Management presents contemporary work from the energy planning arena with focus on the planning of renewable energy assets under grid and land constraints, and district heating decarbonisation from a hub-perspective. The two last papers in this volume address different aspects of photovoltaic development; Virtual Power Plant development in Bahrain and agrivoltaic development prospects in Indonesia.",diagnostic,excluded,期刊卷首介绍，提及其他论文，不是目标研究,pending,True,True,Codex辅助阅读，非独立专家盲审,482
U0246,4737686,paper,Bidding Strategy and Clearing Model of Virtual Power Plants in Energy and Inertia Markets,strict,题名明确虚拟电厂且有聚合/运行/市场任务,"The ongoing decline in system inertia during the energy transition poses serious challenges to frequency stability. Virtual power plants (VPPs) offer a feasible pathway to enhance system frequency support by aggregating distributed inertia resources from the demand side. To this end, this paper proposes an integrated framework that combines bidding and clearing mechanisms to incentivize VPPs to exploit their potential inertia resources. First, an inertia assessment model is developed to characterize the dynamic characteristics of heterogeneous devices within the VPP. On this basis, a bidding strategy incorporating prospect theory is designed,",diagnostic,strict,题名及已展示内容支持该技术对象/任务；不是技术效果真实性验收,strict,False,False,Codex辅助阅读，非独立专家盲审,650
U0246,4553479,paper,Risk-averse optimization for coordinated trading and scheduling in hydrogen-ammonia integrated virtual power plants under dual uncertainties,strict,题名明确虚拟电厂且有聚合/运行/市场任务,,diagnostic,strict,题名及已展示内容支持该技术对象/任务；不是技术效果真实性验收,strict,False,False,Codex辅助阅读，非独立专家盲审,0
U0246,4470823,paper,Scalable robust transactive management of hydrogen-battery virtual power plants under explicit degradation dynamics,strict,题名明确虚拟电厂且有聚合/运行/市场任务,,diagnostic,strict,题名及已展示内容支持该技术对象/任务；不是技术效果真实性验收,strict,False,False,Codex辅助阅读，非独立专家盲审,0
U0246,4642266,paper,Incentive-Based Bi-Level Cooperation Framework for Virtual Power Plant and Electric Vehicle Charging Station Operators,strict,题名明确虚拟电厂且有聚合/运行/市场任务,,diagnostic,strict,题名及已展示内容支持该技术对象/任务；不是技术效果真实性验收,strict,False,False,Codex辅助阅读，非独立专家盲审,0
