family,scenario,kind,parameters,numeric_candidates,reviewed_selected,baseline_count,retained,retention,jaccard,gained,lost,selected_ids,interpretation
core,baseline,baseline,{},202,12,12,12,1.0,1.0,,,C0060;C0067;C0122;C0155;C0169;C0191;C0245;C0251;C0254;C0278;C0473;C0556,固定已审阅范围的条件压力测试；新增未审语义候选不自动入榜
core,remove_gate_annual_volume,gate_ablation,{},208,12,12,12,1.0,1.0,,,C0060;C0067;C0122;C0155;C0169;C0191;C0245;C0251;C0254;C0278;C0473;C0556,固定已审阅范围的条件压力测试；新增未审语义候选不自动入榜
core,remove_gate_active_years,gate_ablation,{},202,12,12,12,1.0,1.0,,,C0060;C0067;C0122;C0155;C0169;C0191;C0245;C0251;C0254;C0278;C0473;C0556,固定已审阅范围的条件压力测试；新增未审语义候选不自动入榜
core,remove_gate_persistence,gate_ablation,{},202,12,12,12,1.0,1.0,,,C0060;C0067;C0122;C0155;C0169;C0191;C0245;C0251;C0254;C0278;C0473;C0556,固定已审阅范围的条件压力测试；新增未审语义候选不自动入榜
core,remove_gate_current_volume,gate_ablation,{},202,12,12,12,1.0,1.0,,,C0060;C0067;C0122;C0155;C0169;C0191;C0245;C0251;C0254;C0278;C0473;C0556,固定已审阅范围的条件压力测试；新增未审语义候选不自动入榜
core,remove_gate_current_share,gate_ablation,{},221,12,12,12,1.0,1.0,,,C0060;C0067;C0122;C0155;C0169;C0191;C0245;C0251;C0254;C0278;C0473;C0556,固定已审阅范围的条件压力测试；新增未审语义候选不自动入榜
core,remove_semantic_review,gate_ablation,{},202,202,12,12,1.0,0.0594059405940594,C0004;C0005;C0009;C0011;C0012;C0017;C0024;C0027;C0028;C0031;C0033;C0037;C0044;C0046;C0048;C0050;C0056;C0059;C0063;C0069;C0072;C0082;C0083;C0086;C0088;C0091;C0098;C0102;C0104;C0105;C0106;C0109;C0115;C0117;C0120;C0121;C0123;C0124;C0125;C0127;C0129;C0130;C0132;C0136;C0137;C0138;C0139;C0140;C0143;C0144;C0146;C0150;C0151;C0154;C0156;C0158;C0159;C0161;C0164;C0165;C0166;C0171;C0172;C0176;C0181;C0183;C0185;C0186;C0189;C0195;C0196;C0200;C0205;C0210;C0211;C0212;C0213;C0216;C0220;C0221;C0222;C0223;C0227;C0228;C0233;C0234;C0235;C0236;C0237;C0243;C0246;C0250;C0252;C0253;C0258;C0259;C0265;C0271;C0275;C0276;C0285;C0286;C0287;C0293;C0296;C0297;C0298;C0302;C0306;C0307;C0316;C0319;C0320;C0327;C0328;C0330;C0337;C0338;C0340;C0342;C0343;C0348;C0369;C0371;C0372;C0378;C0379;C0380;C0381;C0383;C0385;C0386;C0391;C0394;C0407;C0408;C0412;C0417;C0420;C0421;C0426;C0427;C0430;C0435;C0436;C0439;C0443;C0446;C0448;C0451;C0452;C0457;C0461;C0462;C0463;C0464;C0465;C0472;C0481;C0484;C0485;C0487;C0501;C0532;C0533;C0534;C0552;C0555;C0564;C0576;C0577;C0592;C0593;C0598;C0616;C0622;C0633;C0634;C0671;C0672;C0675;C0680;C0684;C0700;C0712;C0714;C0723;C0727;C0728;C0744,,C0004;C0005;C0009;C0011;C0012;C0017;C0024;C0027;C0028;C0031;C0033;C0037;C0044;C0046;C0048;C0050;C0056;C0059;C0060;C0063;C0067;C0069;C0072;C0082;C0083;C0086;C0088;C0091;C0098;C0102;C0104;C0105;C0106;C0109;C0115;C0117;C0120;C0121;C0122;C0123;C0124;C0125;C0127;C0129;C0130;C0132;C0136;C0137;C0138;C0139;C0140;C0143;C0144;C0146;C0150;C0151;C0154;C0155;C0156;C0158;C0159;C0161;C0164;C0165;C0166;C0169;C0171;C0172;C0176;C0181;C0183;C0185;C0186;C0189;C0191;C0195;C0196;C0200;C0205;C0210;C0211;C0212;C0213;C0216;C0220;C0221;C0222;C0223;C0227;C0228;C0233;C0234;C0235;C0236;C0237;C0243;C0245;C0246;C0250;C0251;C0252;C0253;C0254;C0258;C0259;C0265;C0271;C0275;C0276;C0278;C0285;C0286;C0287;C0293;C0296;C0297;C0298;C0302;C0306;C0307;C0316;C0319;C0320;C0327;C0328;C0330;C0337;C0338;C0340;C0342;C0343;C0348;C0369;C0371;C0372;C0378;C0379;C0380;C0381;C0383;C0385;C0386;C0391;C0394;C0407;C0408;C0412;C0417;C0420;C0421;C0426;C0427;C0430;C0435;C0436;C0439;C0443;C0446;C0448;C0451;C0452;C0457;C0461;C0462;C0463;C0464;C0465;C0472;C0473;C0481;C0484;C0485;C0487;C0501;C0532;C0533;C0534;C0552;C0555;C0556;C0564;C0576;C0577;C0592;C0593;C0598;C0616;C0622;C0633;C0634;C0671;C0672;C0675;C0680;C0684;C0700;C0712;C0714;C0723;C0727;C0728;C0744,只展示数值候选范围，不是已审推荐
emerging,baseline,baseline,{},44,22,22,22,1.0,1.0,,,C0091;C0098;C0186;C0191;C0210;C0216;C0246;C0251;C0294;C0348;C0381;C0435;C0443;C0473;C0533;C0534;C0542;C0566;C0600;C0665;C0713;C0725,固定已审阅范围的条件压力测试；新增未审语义候选不自动入榜
emerging,remove_gate_volume,gate_ablation,{},44,22,22,22,1.0,1.0,,,C0091;C0098;C0186;C0191;C0210;C0216;C0246;C0251;C0294;C0348;C0381;C0435;C0443;C0473;C0533;C0534;C0542;C0566;C0600;C0665;C0713;C0725,固定已审阅范围的条件压力测试；新增未审语义候选不自动入榜
emerging,remove_gate_baseline,gate_ablation,{},46,22,22,22,1.0,1.0,,,C0091;C0098;C0186;C0191;C0210;C0216;C0246;C0251;C0294;C0348;C0381;C0435;C0443;C0473;C0533;C0534;C0542;C0566;C0600;C0665;C0713;C0725,固定已审阅范围的条件压力测试；新增未审语义候选不自动入榜
emerging,remove_gate_multiyear,gate_ablation,{},50,22,22,22,1.0,1.0,,,C0091;C0098;C0186;C0191;C0210;C0216;C0246;C0251;C0294;C0348;C0381;C0435;C0443;C0473;C0533;C0534;C0542;C0566;C0600;C0665;C0713;C0725,固定已审阅范围的条件压力测试；新增未审语义候选不自动入榜
emerging,remove_gate_recent_growth,gate_ablation,{},44,22,22,22,1.0,1.0,,,C0091;C0098;C0186;C0191;C0210;C0216;C0246;C0251;C0294;C0348;C0381;C0435;C0443;C0473;C0533;C0534;C0542;C0566;C0600;C0665;C0713;C0725,固定已审阅范围的条件压力测试；新增未审语义候选不自动入榜
emerging,remove_gate_quarters,gate_ablation,{},45,22,22,22,1.0,1.0,,,C0091;C0098;C0186;C0191;C0210;C0216;C0246;C0251;C0294;C0348;C0381;C0435;C0443;C0473;C0533;C0534;C0542;C0566;C0600;C0665;C0713;C0725,固定已审阅范围的条件压力测试；新增未审语义候选不自动入榜
emerging,remove_gate_trend,gate_ablation,{},44,22,22,22,1.0,1.0,,,C0091;C0098;C0186;C0191;C0210;C0216;C0246;C0251;C0294;C0348;C0381;C0435;C0443;C0473;C0533;C0534;C0542;C0566;C0600;C0665;C0713;C0725,固定已审阅范围的条件压力测试；新增未审语义候选不自动入榜
emerging,remove_gate_peak,gate_ablation,{},44,22,22,22,1.0,1.0,,,C0091;C0098;C0186;C0191;C0210;C0216;C0246;C0251;C0294;C0348;C0381;C0435;C0443;C0473;C0533;C0534;C0542;C0566;C0600;C0665;C0713;C0725,固定已审阅范围的条件压力测试；新增未审语义候选不自动入榜
emerging,remove_gate_lower95,gate_ablation,{},44,22,22,22,1.0,1.0,,,C0091;C0098;C0186;C0191;C0210;C0216;C0246;C0251;C0294;C0348;C0381;C0435;C0443;C0473;C0533;C0534;C0542;C0566;C0600;C0665;C0713;C0725,固定已审阅范围的条件压力测试；新增未审语义候选不自动入榜
emerging,remove_gate_qvalue,gate_ablation,{},44,22,22,22,1.0,1.0,,,C0091;C0098;C0186;C0191;C0210;C0216;C0246;C0251;C0294;C0348;C0381;C0435;C0443;C0473;C0533;C0534;C0542;C0566;C0600;C0665;C0713;C0725,固定已审阅范围的条件压力测试；新增未审语义候选不自动入榜
emerging,remove_gate_data_direction,gate_ablation,{},52,23,22,22,1.0,0.9565217391304348,C0123,,C0091;C0098;C0123;C0186;C0191;C0210;C0216;C0246;C0251;C0294;C0348;C0381;C0435;C0443;C0473;C0533;C0534;C0542;C0566;C0600;C0665;C0713;C0725,固定已审阅范围的条件压力测试；新增未审语义候选不自动入榜
emerging,remove_semantic_review,gate_ablation,{},44,44,22,22,1.0,0.5,C0024;C0048;C0115;C0121;C0124;C0130;C0140;C0159;C0193;C0227;C0252;C0258;C0265;C0308;C0327;C0351;C0356;C0446;C0463;C0606;C0656;C0686,,C0024;C0048;C0091;C0098;C0115;C0121;C0124;C0130;C0140;C0159;C0186;C0191;C0193;C0210;C0216;C0227;C0246;C0251;C0252;C0258;C0265;C0294;C0308;C0327;C0348;C0351;C0356;C0381;C0435;C0443;C0446;C0463;C0473;C0533;C0534;C0542;C0566;C0600;C0606;C0656;C0665;C0686;C0713;C0725,只展示数值候选范围，不是已审推荐
core,annual_volume=150,one_at_a_time,"{""annual_volume"": 150}",208,12,12,12,1.0,1.0,,,C0060;C0067;C0122;C0155;C0169;C0191;C0245;C0251;C0254;C0278;C0473;C0556,固定已审阅范围的条件压力测试；新增未审语义候选不自动入榜
core,annual_volume=250,one_at_a_time,"{""annual_volume"": 250}",202,12,12,12,1.0,1.0,,,C0060;C0067;C0122;C0155;C0169;C0191;C0245;C0251;C0254;C0278;C0473;C0556,固定已审阅范围的条件压力测试；新增未审语义候选不自动入榜
core,annual_volume=400,one_at_a_time,"{""annual_volume"": 400}",166,12,12,12,1.0,1.0,,,C0060;C0067;C0122;C0155;C0169;C0191;C0245;C0251;C0254;C0278;C0473;C0556,固定已审阅范围的条件压力测试；新增未审语义候选不自动入榜
core,year_fraction=0.67,one_at_a_time,"{""year_fraction"": 0.67}",202,12,12,12,1.0,1.0,,,C0060;C0067;C0122;C0155;C0169;C0191;C0245;C0251;C0254;C0278;C0473;C0556,固定已审阅范围的条件压力测试；新增未审语义候选不自动入榜
core,year_fraction=1.0,one_at_a_time,"{""year_fraction"": 1.0}",202,12,12,12,1.0,1.0,,,C0060;C0067;C0122;C0155;C0169;C0191;C0245;C0251;C0254;C0278;C0473;C0556,固定已审阅范围的条件压力测试；新增未审语义候选不自动入榜
core,quarter_fraction=0.5,one_at_a_time,"{""quarter_fraction"": 0.5}",202,12,12,12,1.0,1.0,,,C0060;C0067;C0122;C0155;C0169;C0191;C0245;C0251;C0254;C0278;C0473;C0556,固定已审阅范围的条件压力测试；新增未审语义候选不自动入榜
core,quarter_fraction=0.75,one_at_a_time,"{""quarter_fraction"": 0.75}",202,12,12,12,1.0,1.0,,,C0060;C0067;C0122;C0155;C0169;C0191;C0245;C0251;C0254;C0278;C0473;C0556,固定已审阅范围的条件压力测试；新增未审语义候选不自动入榜
core,quarter_fraction=1.0,one_at_a_time,"{""quarter_fraction"": 1.0}",202,12,12,12,1.0,1.0,,,C0060;C0067;C0122;C0155;C0169;C0191;C0245;C0251;C0254;C0278;C0473;C0556,固定已审阅范围的条件压力测试；新增未审语义候选不自动入榜
core,current_volume=150,one_at_a_time,"{""current_volume"": 150}",202,12,12,12,1.0,1.0,,,C0060;C0067;C0122;C0155;C0169;C0191;C0245;C0251;C0254;C0278;C0473;C0556,固定已审阅范围的条件压力测试；新增未审语义候选不自动入榜
core,current_volume=250,one_at_a_time,"{""current_volume"": 250}",202,12,12,12,1.0,1.0,,,C0060;C0067;C0122;C0155;C0169;C0191;C0245;C0251;C0254;C0278;C0473;C0556,固定已审阅范围的条件压力测试；新增未审语义候选不自动入榜
core,current_volume=400,one_at_a_time,"{""current_volume"": 400}",189,12,12,12,1.0,1.0,,,C0060;C0067;C0122;C0155;C0169;C0191;C0245;C0251;C0254;C0278;C0473;C0556,固定已审阅范围的条件压力测试；新增未审语义候选不自动入榜
core,current_share=0.7,one_at_a_time,"{""current_share"": 0.7}",221,12,12,12,1.0,1.0,,,C0060;C0067;C0122;C0155;C0169;C0191;C0245;C0251;C0254;C0278;C0473;C0556,固定已审阅范围的条件压力测试；新增未审语义候选不自动入榜
core,current_share=0.8,one_at_a_time,"{""current_share"": 0.8}",202,12,12,12,1.0,1.0,,,C0060;C0067;C0122;C0155;C0169;C0191;C0245;C0251;C0254;C0278;C0473;C0556,固定已审阅范围的条件压力测试；新增未审语义候选不自动入榜
core,current_share=1.0,one_at_a_time,"{""current_share"": 1.0}",116,4,12,4,0.3333333333333333,0.3333333333333333,,C0060;C0067;C0122;C0155;C0245;C0254;C0278;C0556,C0169;C0191;C0251;C0473,固定已审阅范围的条件压力测试；新增未审语义候选不自动入榜
emerging,volume=50,one_at_a_time,"{""volume"": 50}",44,22,22,22,1.0,1.0,,,C0091;C0098;C0186;C0191;C0210;C0216;C0246;C0251;C0294;C0348;C0381;C0435;C0443;C0473;C0533;C0534;C0542;C0566;C0600;C0665;C0713;C0725,固定已审阅范围的条件压力测试；新增未审语义候选不自动入榜
emerging,volume=100,one_at_a_time,"{""volume"": 100}",44,22,22,22,1.0,1.0,,,C0091;C0098;C0186;C0191;C0210;C0216;C0246;C0251;C0294;C0348;C0381;C0435;C0443;C0473;C0533;C0534;C0542;C0566;C0600;C0665;C0713;C0725,固定已审阅范围的条件压力测试；新增未审语义候选不自动入榜
emerging,volume=150,one_at_a_time,"{""volume"": 150}",42,21,22,21,0.9545454545454546,0.9545454545454546,,C0566,C0091;C0098;C0186;C0191;C0210;C0216;C0246;C0251;C0294;C0348;C0381;C0435;C0443;C0473;C0533;C0534;C0542;C0600;C0665;C0713;C0725,固定已审阅范围的条件压力测试；新增未审语义候选不自动入榜
emerging,baseline=25,one_at_a_time,"{""baseline"": 25}",46,22,22,22,1.0,1.0,,,C0091;C0098;C0186;C0191;C0210;C0216;C0246;C0251;C0294;C0348;C0381;C0435;C0443;C0473;C0533;C0534;C0542;C0566;C0600;C0665;C0713;C0725,固定已审阅范围的条件压力测试；新增未审语义候选不自动入榜
emerging,baseline=50,one_at_a_time,"{""baseline"": 50}",44,22,22,22,1.0,1.0,,,C0091;C0098;C0186;C0191;C0210;C0216;C0246;C0251;C0294;C0348;C0381;C0435;C0443;C0473;C0533;C0534;C0542;C0566;C0600;C0665;C0713;C0725,固定已审阅范围的条件压力测试；新增未审语义候选不自动入榜
emerging,baseline=100,one_at_a_time,"{""baseline"": 100}",35,19,22,19,0.8636363636363636,0.8636363636363636,,C0566;C0600;C0713,C0091;C0098;C0186;C0191;C0210;C0216;C0246;C0251;C0294;C0348;C0381;C0435;C0443;C0473;C0533;C0534;C0542;C0665;C0725,固定已审阅范围的条件压力测试；新增未审语义候选不自动入榜
emerging,multiyear=1.15,one_at_a_time,"{""multiyear"": 1.15}",49,22,22,22,1.0,1.0,,,C0091;C0098;C0186;C0191;C0210;C0216;C0246;C0251;C0294;C0348;C0381;C0435;C0443;C0473;C0533;C0534;C0542;C0566;C0600;C0665;C0713;C0725,固定已审阅范围的条件压力测试；新增未审语义候选不自动入榜
emerging,multiyear=1.25,one_at_a_time,"{""multiyear"": 1.25}",44,22,22,22,1.0,1.0,,,C0091;C0098;C0186;C0191;C0210;C0216;C0246;C0251;C0294;C0348;C0381;C0435;C0443;C0473;C0533;C0534;C0542;C0566;C0600;C0665;C0713;C0725,固定已审阅范围的条件压力测试；新增未审语义候选不自动入榜
emerging,multiyear=1.5,one_at_a_time,"{""multiyear"": 1.5}",19,9,22,9,0.4090909090909091,0.4090909090909091,,C0091;C0098;C0186;C0191;C0216;C0251;C0294;C0348;C0443;C0473;C0566;C0665;C0725,C0210;C0246;C0381;C0435;C0533;C0534;C0542;C0600;C0713,固定已审阅范围的条件压力测试；新增未审语义候选不自动入榜
emerging,multiyear=2.0,one_at_a_time,"{""multiyear"": 2.0}",2,0,22,0,0.0,0.0,,C0091;C0098;C0186;C0191;C0210;C0216;C0246;C0251;C0294;C0348;C0381;C0435;C0443;C0473;C0533;C0534;C0542;C0566;C0600;C0665;C0713;C0725,,固定已审阅范围的条件压力测试；新增未审语义候选不自动入榜
emerging,recent_growth=1.0,one_at_a_time,"{""recent_growth"": 1.0}",44,22,22,22,1.0,1.0,,,C0091;C0098;C0186;C0191;C0210;C0216;C0246;C0251;C0294;C0348;C0381;C0435;C0443;C0473;C0533;C0534;C0542;C0566;C0600;C0665;C0713;C0725,固定已审阅范围的条件压力测试；新增未审语义候选不自动入榜
emerging,recent_growth=1.15,one_at_a_time,"{""recent_growth"": 1.15}",44,22,22,22,1.0,1.0,,,C0091;C0098;C0186;C0191;C0210;C0216;C0246;C0251;C0294;C0348;C0381;C0435;C0443;C0473;C0533;C0534;C0542;C0566;C0600;C0665;C0713;C0725,固定已审阅范围的条件压力测试；新增未审语义候选不自动入榜
emerging,recent_growth=1.25,one_at_a_time,"{""recent_growth"": 1.25}",36,18,22,18,0.8181818181818182,0.8181818181818182,,C0191;C0251;C0473;C0534,C0091;C0098;C0186;C0210;C0216;C0246;C0294;C0348;C0381;C0435;C0443;C0533;C0542;C0566;C0600;C0665;C0713;C0725,固定已审阅范围的条件压力测试；新增未审语义候选不自动入榜
emerging,quarters=2,one_at_a_time,"{""quarters"": 2}",45,22,22,22,1.0,1.0,,,C0091;C0098;C0186;C0191;C0210;C0216;C0246;C0251;C0294;C0348;C0381;C0435;C0443;C0473;C0533;C0534;C0542;C0566;C0600;C0665;C0713;C0725,固定已审阅范围的条件压力测试；新增未审语义候选不自动入榜
emerging,quarters=3,one_at_a_time,"{""quarters"": 3}",44,22,22,22,1.0,1.0,,,C0091;C0098;C0186;C0191;C0210;C0216;C0246;C0251;C0294;C0348;C0381;C0435;C0443;C0473;C0533;C0534;C0542;C0566;C0600;C0665;C0713;C0725,固定已审阅范围的条件压力测试；新增未审语义候选不自动入榜
emerging,quarters=4,one_at_a_time,"{""quarters"": 4}",28,15,22,15,0.6818181818181818,0.6818181818181818,,C0098;C0216;C0473;C0534;C0665;C0713;C0725,C0091;C0186;C0191;C0210;C0246;C0251;C0294;C0348;C0381;C0435;C0443;C0533;C0542;C0566;C0600,固定已审阅范围的条件压力测试；新增未审语义候选不自动入榜
emerging,peak=0.9,one_at_a_time,"{""peak"": 0.9}",44,22,22,22,1.0,1.0,,,C0091;C0098;C0186;C0191;C0210;C0216;C0246;C0251;C0294;C0348;C0381;C0435;C0443;C0473;C0533;C0534;C0542;C0566;C0600;C0665;C0713;C0725,固定已审阅范围的条件压力测试；新增未审语义候选不自动入榜
emerging,peak=1.0,one_at_a_time,"{""peak"": 1.0}",44,22,22,22,1.0,1.0,,,C0091;C0098;C0186;C0191;C0210;C0216;C0246;C0251;C0294;C0348;C0381;C0435;C0443;C0473;C0533;C0534;C0542;C0566;C0600;C0665;C0713;C0725,固定已审阅范围的条件压力测试；新增未审语义候选不自动入榜
emerging,peak=1.05,one_at_a_time,"{""peak"": 1.05}",44,22,22,22,1.0,1.0,,,C0091;C0098;C0186;C0191;C0210;C0216;C0246;C0251;C0294;C0348;C0381;C0435;C0443;C0473;C0533;C0534;C0542;C0566;C0600;C0665;C0713;C0725,固定已审阅范围的条件压力测试；新增未审语义候选不自动入榜
emerging,peak=1.15,one_at_a_time,"{""peak"": 1.15}",43,21,22,21,0.9545454545454546,0.9545454545454546,,C0725,C0091;C0098;C0186;C0191;C0210;C0216;C0246;C0251;C0294;C0348;C0381;C0435;C0443;C0473;C0533;C0534;C0542;C0566;C0600;C0665;C0713,固定已审阅范围的条件压力测试；新增未审语义候选不自动入榜
emerging,robust=1.0,one_at_a_time,"{""robust"": 1.0}",50,23,22,22,1.0,0.9565217391304348,C0123,,C0091;C0098;C0123;C0186;C0191;C0210;C0216;C0246;C0251;C0294;C0348;C0381;C0435;C0443;C0473;C0533;C0534;C0542;C0566;C0600;C0665;C0713;C0725,固定已审阅范围的条件压力测试；新增未审语义候选不自动入榜
emerging,robust=1.1,one_at_a_time,"{""robust"": 1.1}",44,22,22,22,1.0,1.0,,,C0091;C0098;C0186;C0191;C0210;C0216;C0246;C0251;C0294;C0348;C0381;C0435;C0443;C0473;C0533;C0534;C0542;C0566;C0600;C0665;C0713;C0725,固定已审阅范围的条件压力测试；新增未审语义候选不自动入榜
emerging,robust=1.15,one_at_a_time,"{""robust"": 1.15}",40,20,22,20,0.9090909090909092,0.9090909090909092,,C0191;C0534,C0091;C0098;C0186;C0210;C0216;C0246;C0251;C0294;C0348;C0381;C0435;C0443;C0473;C0533;C0542;C0566;C0600;C0665;C0713;C0725,固定已审阅范围的条件压力测试；新增未审语义候选不自动入榜
emerging,lower95=1.0,one_at_a_time,"{""lower95"": 1.0}",44,22,22,22,1.0,1.0,,,C0091;C0098;C0186;C0191;C0210;C0216;C0246;C0251;C0294;C0348;C0381;C0435;C0443;C0473;C0533;C0534;C0542;C0566;C0600;C0665;C0713;C0725,固定已审阅范围的条件压力测试；新增未审语义候选不自动入榜
emerging,lower95=1.05,one_at_a_time,"{""lower95"": 1.05}",44,22,22,22,1.0,1.0,,,C0091;C0098;C0186;C0191;C0210;C0216;C0246;C0251;C0294;C0348;C0381;C0435;C0443;C0473;C0533;C0534;C0542;C0566;C0600;C0665;C0713;C0725,固定已审阅范围的条件压力测试；新增未审语义候选不自动入榜
emerging,lower95=1.1,one_at_a_time,"{""lower95"": 1.1}",43,21,22,21,0.9545454545454546,0.9545454545454546,,C0725,C0091;C0098;C0186;C0191;C0210;C0216;C0246;C0251;C0294;C0348;C0381;C0435;C0443;C0473;C0533;C0534;C0542;C0566;C0600;C0665;C0713,固定已审阅范围的条件压力测试；新增未审语义候选不自动入榜
emerging,qvalue=0.01,one_at_a_time,"{""qvalue"": 0.01}",43,21,22,21,0.9545454545454546,0.9545454545454546,,C0725,C0091;C0098;C0186;C0191;C0210;C0216;C0246;C0251;C0294;C0348;C0381;C0435;C0443;C0473;C0533;C0534;C0542;C0566;C0600;C0665;C0713,固定已审阅范围的条件压力测试；新增未审语义候选不自动入榜
emerging,qvalue=0.05,one_at_a_time,"{""qvalue"": 0.05}",44,22,22,22,1.0,1.0,,,C0091;C0098;C0186;C0191;C0210;C0216;C0246;C0251;C0294;C0348;C0381;C0435;C0443;C0473;C0533;C0534;C0542;C0566;C0600;C0665;C0713;C0725,固定已审阅范围的条件压力测试；新增未审语义候选不自动入榜
emerging,qvalue=0.1,one_at_a_time,"{""qvalue"": 0.1}",44,22,22,22,1.0,1.0,,,C0091;C0098;C0186;C0191;C0210;C0216;C0246;C0251;C0294;C0348;C0381;C0435;C0443;C0473;C0533;C0534;C0542;C0566;C0600;C0665;C0713;C0725,固定已审阅范围的条件压力测试；新增未审语义候选不自动入榜
emerging,"multiyear=1.15,peak=0.9",joint_grid,"{""multiyear"": 1.15, ""peak"": 0.9}",51,22,22,22,1.0,1.0,,,C0091;C0098;C0186;C0191;C0210;C0216;C0246;C0251;C0294;C0348;C0381;C0435;C0443;C0473;C0533;C0534;C0542;C0566;C0600;C0665;C0713;C0725,固定已审阅范围的条件压力测试；新增未审语义候选不自动入榜
emerging,"multiyear=1.15,peak=1.0",joint_grid,"{""multiyear"": 1.15, ""peak"": 1.0}",51,22,22,22,1.0,1.0,,,C0091;C0098;C0186;C0191;C0210;C0216;C0246;C0251;C0294;C0348;C0381;C0435;C0443;C0473;C0533;C0534;C0542;C0566;C0600;C0665;C0713;C0725,固定已审阅范围的条件压力测试；新增未审语义候选不自动入榜
emerging,"multiyear=1.15,peak=1.05",joint_grid,"{""multiyear"": 1.15, ""peak"": 1.05}",49,22,22,22,1.0,1.0,,,C0091;C0098;C0186;C0191;C0210;C0216;C0246;C0251;C0294;C0348;C0381;C0435;C0443;C0473;C0533;C0534;C0542;C0566;C0600;C0665;C0713;C0725,固定已审阅范围的条件压力测试；新增未审语义候选不自动入榜
emerging,"multiyear=1.15,peak=1.15",joint_grid,"{""multiyear"": 1.15, ""peak"": 1.15}",44,21,22,21,0.9545454545454546,0.9545454545454546,,C0725,C0091;C0098;C0186;C0191;C0210;C0216;C0246;C0251;C0294;C0348;C0381;C0435;C0443;C0473;C0533;C0534;C0542;C0566;C0600;C0665;C0713,固定已审阅范围的条件压力测试；新增未审语义候选不自动入榜
